,Unnamed: 0,Unnamed: 0.1,sentence1,sentence2,hyp1,hyp2,label
2920,123902,123902,James was having troubles with his girlfriend.,They were able to kiss and makeup.,James sat down and kicked her.,James sat down and talked with her.,1
1307,46654,46654,Marissa was at the mall.,"Then, she decided to add her name.",She missed a contest for a free moped.,She saw a contest for a free moped.,1
4357,157587,157587,Jon's house was dirty.,He cleaned the floor until it was spotless.,The cleanliness was driving him crazy.,The dirtiness was driving him crazy.,1
1835,109612,109612,It was the last day of our vacation.,We all vowed to never go back again.,We were all melancholy about having to leave.,We were all so excited to leave.,1
1784,130429,130429,Sirene had been a famous silver screen actress.,Sirene lied to the autograph seeker and feigned ignorance.,Sirene was asked to take a picture of a fan.,Sirene was ran up on by fan.,1
1942,82454,82454,Taylor was very stressed out about her finals.,Taylor went home for the holidays happy and relieved.,Taylor finished her finals with a lot of trouble.,Taylor finished her finals without much trouble.,1
1583,149865,149865,I used to only wear contact lenses.,So I switched to glasses and the problem resolved itself.,My eyes started becoming very sparkling and beautiful.,My eyes started becoming very dry and irritated.,1
2173,38894,38894,Gina was on a road trip with her family.,She was mortified to find she had only been asleep an hour.,Gina said she was wide awake to her mom.,Gina said she was tired to her mom.,1
3958,22996,22996,Matt started playing baseball when he was seven.,Matt scored a touchdown at the last minute.,Matt never played football.,Matt decided to start playing football because he mastered baseball.,1
2573,121425,121425,Jack had been experiencing stomach pain all day.,Jack was admitted to the hospital and had his appendix removed.,Jack went to his dentist to get checked out.,Jack went to his doctor to get checked out.,1
2856,101112,101112,"Marty had a pretty major roach problem, but he wasn't sure what to do.",He decided it might be time to call an exterminator.,Marty did some research and tried to breed roaches in vain.,Marty did some research and tried out in vain.,1
4072,148622,148622,Tom was relaxing in his backyard.,Tom decided to watch the birds from the safety of his home after.,Tom noticed clear blue skies on the horizon.,Tom noticed lightning and thunder on the horizon.,1
2250,104309,104309,Mark went to the shopping mall to look for some shoes.,"Mark didn't find the shoes he was looking for, but he didn't mind.",the mall was extremely dead and quiet.,the mall was extremely crowded and noisy.,1
1763,86114,86114,Ted had a mouse infestation problem.,"When finished, Ted felt satisfied with his work.",Ted set traps all over.,Ted removed traps all over.,0
4910,36923,36923,It was very warm outside today.,"I had so much fun, I was exhausted!",Playing pool inside was best with friends.,I went swimming with my friends.,1
1843,103424,103424,Bay took a pop quiz in math.,"Unfortunately, Bay was stuck with the failing grade.",Bay passed the test.,Bay did not pass the test.,1
3501,48314,48314,Jeb was building statues out of rocks.,Jeb was excited to build a new one.,The statue looked good.,The statue collapsed completely.,0
450,69433,69433,Adam wanted to eat a frozen burrito for lunch.,"A few hours after eating the burrito, he began to feel sick.",Adam bought but didn't eat one from the gas station.,Adam bought and ate one from the gas station.,1
3724,6913,6913,Jane and Shawn were close friends.,Shawn missed Jane every day.,they hated each other.,Jane got in a bad car accident and died.,1
2474,21700,21700,"After work, Marie plopped on a chair to watch her shows.",Marie looked at her own kids and turned off the TV.,"She was at the mall, but it was time to make dinner.","She was exhausted, but it was time to make dinner.",1
1232,106331,106331,Timmy was a toddler.,"Timmy was so scared, his mom decided to get rid of the cat.",Timmy was scared by the dog.,Timmy was scared by the cat.,1
3270,89683,89683,Jack bought a sampler to produce hip hop beats.,Jack brought the new records home and made music with them all night.,Jack would be lazy.,Jack would be productive.,1
4444,34047,34047,Two friends were talking to each other on the phone.,He hung up the phone and pouted.,Tim's enemy Stan told an offensive joke that offended Tim.,Tim's friend Stan told an offensive joke that offended Tim.,1
4526,19507,19507,Stephen was worried that he couldn't get home to see his family.,"Though it took a little longer, he could go see his family on the bus.",Stephen then decided to take cheaper transportation to see his teachers.,Stephen then decided to take cheaper transportation to see his family.,1
4622,96585,96585,Tom went on a cruise through the Caribbean,At the end of the two weeks he was sad it was over,Tom had a terrible time.,Tom had a great time.,1
1293,162432,162432,Kelly decided to take her favorite junk food items and redo them.,She immediately told all her friends.,Kelly was bored with the new change.,Kelly liked the new change.,1
2811,17643,17643,There once was a man named John.,John was an outstanding worker.,John got promoted after working at the office for 1 week.,John got demoted after working at the office for 1 week.,0
2845,151316,151316,Marc loved video games.,"Sadly, he was late for the football game.",Marc played madden during the bus to the game.,Marc played madden before the bus to the game.,1
3362,30851,30851,The taxi stopped at the front of my house.,"I was told that the school was on the other side, when it wasn't.",I could not find the diner.,I could not find the school.,1
1523,158846,158846,"Alex loved to write short, fictional stories.",His story was purchased and Alex got published!,Alex worked really lazily on one story.,Alex worked really hard on one story.,1
1714,143766,143766,Steve was in the lobby drinking before the show.,The man sitting next to Steve told him he wish he had a drink too.,The man next to Steven flew planes.,The man next to Steve saw his drink.,1
356,68811,68811,I put on my favorite white shirt to wear to the mall with friends.,My favorite shirt was ruined by a big mustard stain.,I bought an ice cream with sprinkles in the food court.,I bought a hot dog with mustard in the food court.,1
4442,167740,167740,Matt was at a school assembly.,"He was okay, but everyone was laughing.",Matt fell at the prison assembly.,Matt fell at the school assembly.,1
947,156499,156499,Karin and Rory were vegans.,"It was important to them to respect each other, despite disagreeing.",Rory started eating vegetables.,Rory started eating meat.,1
4847,47887,47887,Jerry was hungry one day while watching movies.,"When he woke up, he checked the popcorn and it was burned.",Frederick fell asleep at a friend's house.,Jerry fell asleep while waiting for his popcorn to pop.,1
2055,99943,99943,A sports reporter stays at a Marriott Hotel.,All decent people vow to never stay at a Marriott hotel again.,The hotel was discriminatory towards the soft cheese.,The hotel was discriminatory towards the sports reporter.,1
1528,21186,21186,Sasha bought a hunting license for the first time.,She shot her first deer!,Sasha then went to go fishing.,Sasha then went to go hunting.,1
3228,107708,107708,Kelsey had heard about a meteor shower that night.,"Unfortunately, she had a bad view due to light pollution.",She went outside in the pitch black to view it.,She went outside to view it.,1
3423,56981,56981,Bobby loved going to the zoo.,He spent the most time looking at them.,Bobby was fond of the garden.,Bobby was fond of the Zebras.,1
3173,165604,165604,I was watching tv one day.,"After paying them, my power turned back on.",The show was stopped due to a writer's strike.,The show was stopped due to pending payment.,1
322,93242,93242,Jordan decides he must find something to occupy his time.,He is happy that he found something to take up a little time.,He walked around all day staring at the sky.,"He visited his local library and found books, DVDs, music.",1
2296,146485,146485,Lisa's brother was a very sound sleeper.,He was extremely angry when he looked in the mirror the next day.,She put him something on his non-clam like a mask while he was sleeping.,She put him something on his mouth like a mask while he was sleeping.,1
163,38806,38806,Larry sees that his rug is covered in stains.,He wishes he had cleaned his rug weeks before.,Larry didn't really care because the car was about to be replaced.,Larry was embarrassed when his friends came over.,1
2017,14245,14245,Zoey was taunted by her friends for having a strange name.,Zoey had her name changed when she turned 18.,Zoey felt good about herself and loved her name too.,Zoey felt bad about herself and hated her name too.,1
1394,63025,63025,Yvonne had always been overweight.,Yvonne was proud of herself.,Yvonne went on a diet and exercised for months. She gained 50 pounds.,Yvonne went on a diet and exercised for months. She lost 50 pounds.,1
2260,114817,114817,Sam was camping in the woods.,Sam cleaned and ate his trout back at camp.,Sam went swimming to catch some sun.,Sam went fishing to catch something for dinner.,1
3453,94892,94892,Jill went on a road trip last month.,Jill was glad that they arrived so quickly.,Jill drove slowly.,Jill drove very fast.,1
724,35,35,Brenna and I used to be best friends.,We never talked again.,Brenna and I never fought over a boy.,Brenna and I fought over a boy.,1
3850,108618,108618,Ed left his apartment for work.,Ed was able to get back inside and get his key.,Ed picked up his key.,Ed dropped his key.,1
3070,87489,87489,Gina was going to turn on a side street to escape traffic.,Gina decided she would turn left to escape the traffic.,Gina didn't see a street on the left.,Gina saw a street on the left.,1
214,27932,27932,Maya took a trip to the beach.,Maya decided to rest before she swam again.,Maya went swimming in the river.,Maya went swimming in the ocean.,1
2507,93754,93754,Larry wanted to add spark to his relationship.,She left him and began her career as a pornstar.,Larry encouraged his wife to tighten up and show less of her body in public.,He encouraged his timid wife to loosen up and show off her body more in public.,1
2122,92481,92481,We shopped at our local bakery for years.,My wife said she is not going back there ever.,My husband hated it.,My wife hated it.,1
4008,17517,17517,The quarterback received the ball.,He managed to run towards the opposite side of the field.,The quarterback started walking.,The quarterback started running.,1
808,81214,81214,George liked to play basketball at the park.,This time they won and George felt really happy.,George was going up against his arch rival! The scores weren't even close by the time they lost.,George was going up against his arch rival! The scores were almost tied by the time they finished.,1
1737,80055,80055,Maya's little girl came home very itchy one day.,Soon her daughter's lice were gone.,Maya's mom treated her for mosquito bites.,Maya's mom treated her for lice.,1
