,Unnamed: 0,Unnamed: 0.1,sentence1,sentence2,hyp1,hyp2,label
104,57051,57051,My father called me to his side on his deathbed.,Just before his final breath he said he was sorry.,He said he loved me since infancy.,He discussed the harm he had caused me in infancy.,1
4880,130769,130769,Steven did not eat at any restaurant where they served Pepsi.,His friends were shocked when he got up and left.,Steven went out to drive with his friends and found out the road served beer.,Steven went out to eat with his friends and found out the restaurant served Pepsi.,1
1449,86976,86976,It was time to look for a new car.,But I finally decided on a new Ford.,I looked all over for a Ford I hated.,I looked all over for one I liked.,1
1655,82357,82357,I was afraid of bugs all my life.,Now I am not so afraid of bugs.,A spider bit me and now I'm absolutely terrified of them.,I learned that bugs are not scary.,1
1477,78602,78602,Monica had just made a pot of rice.,"Luckily, she was able to clean the burned spot up.","She left it alone and burned the house."".",She left it alone and burned the pan.,1
3701,100563,100563,My two year old son refused to wear training pants.,Now I don't try to make him wear training pants.,He promised he would be very good and only go potty in the toilet.,My two year old son kept going potty in his pants.,0
1027,100565,100565,My two year old son refused to wear training pants.,Now I don't try to make him wear training pants.,My son decided to potty train all on his own.,My son decided to pee on the floor all on his own.,0
2824,42898,42898,Danny wanted to learn how to make fried rice.,Danny did a great job.,Danny followed the recipe.,Danny did not follow the recipe.,0
590,42899,42899,Danny wanted to learn how to make fried rice.,Danny did a great job.,Danny followed the recipe.,Danny didn't follow the recipe for the rice.,0
3648,120503,120503,It was Clara's first month of school and already there was a dance.,"When the door rang and he was outside, she could not wait.",Claras' best friend was asked by Bob to the dance.,Claras' best friend Bob asked her to the dance.,1
3992,7869,7869,Janice decided to change jobs.,Janice loves her new job as a teacher's aide.,She was sick of working with children all day.,She was sick of working with adults all day.,1
3776,125001,125001,Tim's mom dropped him off at school in the morning.,His mother wept in the car for an hour.,It was Tim's last day of kindergarten.,It was Tim's first day of kindergarten.,1
169,33211,33211,Lucy's Grandma decided to take her to a movie.,"Unfortunately, the movie was sold out.",One of them went a little late.,The two of them went a little late.,1
2497,145767,145767,On Monday my friend sprained her ankle.,Afterwards I drove her home and helped her get inside.,I told her to call an ambulance.,I had to give her a ride to the doctors.,1
587,131824,131824,My cousin introduced me to this dating application.,We also exchanged numbers before leaving.,My first time on I didn't meet anyone.,My first time on I met a cool girl.,1
4951,55108,55108,"When Kim was ten months old, she experienced snow for the first time.","She did, and started to cry, it was too cold!",She wanted to sit in the sand.,She wanted to sit in the snow.,1
4624,112002,112002,Jason grew up riding motorcycles.,Jason said that gave him to confidence to win the motocross.,a friend told him he was really good.,A friend told him he was awful.,0
2138,88727,88727,I bought a bag of jellybeans for Easter.,"Later, my husband admitted to eating the jellybeans.",All of the jellybeans were left over.,I couldn't find the bag.,1
1574,62883,62883,I wanted to do something fun.,I drove to the beach.,"I hate swimming, especially at the beach.",I find swimming enjoyable.,1
4245,70007,70007,Billy was walking in the grass barefoot.,His mother finally pulled it out with tweezers.,Billy almost stepped on a thorn.,Billy stepped on a thorn.,1
2746,70017,70017,Billy was walking in the grass barefoot.,His mother finally pulled it out with tweezers.,Billy stepped on a piece of glass. He tried to pull it out with his fingers and it came right out.,Billy stepped on a piece of glass. He tried to pull it out with his fingers but it wouldnt come out.,1
1634,28534,28534,Tory was tired of the hot weather.,It became too hot and dry for Tory to go out.,Tory couldn't wait to go outside and play.,Tory debated whether or not to go outside.,1
2393,144163,144163,I play the lottery a lot and I always lose.,I now play twice as much.,I spent all my money on tickets and am now penniless.,"But when I bought a ticket today, I won $100,000.",1
2838,157150,157150,Tony has been feeling really tired and dizzy lately.,Tony never drank too much water but now drinks a gallon a day.,Tony went to his mom who said he was tired.,Tony went to the doctor who said he was dehydrated.,1
95,49678,49678,"Kenny was walking down the street, and saw 2 children playing.","The children went on their way, and learned not to hurt animals.",Kenny yelled at them for kicking a homeless guy.,Kenny yelled at them for kicking a dog.,1
3752,66241,66241,Alicia woke up very hungry.,She decided to eat cereal instead.,Alicia wanted cereal but didn't have any.,Alicia wanted eggs but didn't have any.,1
1489,159999,159999,Julio is excited for family dinner.,Julio is very happy his family is around.,None of Julio's family came.,All of Julio's family came.,1
2645,92466,92466,Heather's mother asked her to go grocery shopping for her.,She made it home and disappointed her mother by forgetting things.,"Heather said she would go, but then got sick.",Heather said she would go for her mother.,1
4519,129391,129391,A new Chick-Fil-A just opened up and I couldn't wait to try it.,Right then I decided this was my new favorite food.,I tried a blacken'd ranch chicken nuggets.,I tried a chicken sandwich with Polynesian sauce.,1
4276,60121,60121,Lia went to England.,Lia hated going to England.,Lia found Englanders to be rude.,Lia found Englanders to be polite.,0
3114,143197,143197,Dan was still in shock after watching the movie Deadpool.,Dan curled into a ball and weep in the corner.,Dan found himself feeling excited by the film's artistry.,Dan found himself feeling overwhelmed by the film's artistry.,1
3537,1930,1930,Three little girls were standing by a pool at a party.,The little girl was saved by her dad.,One girl tripped and fell into the sandbox but she didn't know how to swim.,One girl tripped and fell into the pool but she didn't know how to swim.,1
4476,89405,89405,Mike looked at his walls in his house and thought they were bland.,The creation covered the entire wall and Mike was pleased.,Mike painted a collage on his car.,Mike painted a collage on his walls.,1
273,89408,89408,Mike looked at his walls in his house and thought they were bland.,The creation covered the entire wall and Mike was pleased.,Mike didn't paint a mural on the wall.,Mike painted a mural on the wall.,1
4287,120980,120980,Kelly was eating sourdough bread.,She pushed the tooth and off it came.,The bread was so soft Kelly's teeth sunk right in.,it was so tough her baby tooth got loose.,1
4873,62782,62782,Kyle had arachnophobia.,And he was taken to the nurse's office.,Kyle never saw a spider and had no reason for a panic attack.,Kyle saw a spider and had a panic attack.,1
4029,64783,64783,Ana made a living out of lying to friends.,"The friend she needed most, lied to her, and left her alone.",Ana knew her friend might lie to her.,Ana never suspected that her friend might lie to her.,1
4323,23825,23825,Horace loves using his grill and wishes he had more chances to use it.,Horace decides he does not need a special occasion to grill.,Horace felt like using it tomorrow.,Horace felt like using it today.,1
3906,117066,117066,The friends went to New Orleans.,It was a memory to last a lifetime.,They did nothing they could enjoy doing.,They did everything they could imagine doing.,1
700,104514,104514,Jake was upset at his girlfriend.,Jake asked to break up.,Jake told his girlfriend they needed to talk about their love.,Jake told his girlfriend they needed to talk.,1
2010,157787,157787,Javier had always wanted to see the vast farms in Iowa.,Javier was very happy that his dream of seeing Iowa had come true.,Javier forgot to take a trip.,Javier decided to take a trip.,1
4732,493,493,Hannah sent her kids to go to the shoreline.,"As a result, they had to get out of the water and put on sunscreen.",They were feeling nice and tanned.,They were burning bad.,1
3946,164922,164922,Ed and his dad went to the ice sculpting competition held in town.,His favorite was an eight foot long dragon.,Ed hated looking at the ice sculptures.,Ed loved looking at the ice sculptures.,1
1479,12564,12564,My wife was tired of cold snowy winters.,We are enjoying 90 degree weather instead of shoveling snow.,We decided to move away from Arizona.,We decided to move away to Arizona.,1
1696,95509,95509,Dalton went hunting with his friends in the woods.,The deer collapsed and Dalton collected his trophy.,"Dalton put his gun down, realizing hunting is barbaric.",Dalton shot at a deer that got close to him.,1
4408,147866,147866,Cody had outgrown his sneakers.,It was a relief to have shoes that fit properly again!,Cody went to the store to get a smaller size.,Cody went to the store to get a larger size.,1
370,147858,147858,Cody had outgrown his sneakers.,It was a relief to have shoes that fit properly again!,Cody put on smaller shoes he accidentally bought years ago.,Cody put on large shoes he accidentally bought years ago.,1
4798,8365,8365,Chelsea loves pandas.,Chelsea was in tears for the rest of the day.,A new bug was born at the zoo she worked for.,a new panda was born at the zoo she worked for.,1
879,14374,14374,Carrie's new kitten left the house infested with fleas.,But the kitten ran back inside before she could shut it.,Carrie kept the kitten inside.,Carrie tried to put the kitten outside.,1
3873,36613,36613,Gretchen was a nanny for two children.,She decided to keep in touch with the children.,The children still needed a nanny.,The children didn't need a nanny anymore.,1
3167,136838,136838,Augustus and Seana were best friends since childhood.,They found they cherished the time they spent together all the better.,When they grew up they became estranged.,When they grew up they lived far apart.,1
