,Unnamed: 0,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
455,23284,lsmdc3005_ABRAHAM_LINCOLN_VAMPIRE_HUNTER-2284,7199,"Now as someone climbs into an attic, someone offers a hand to help him up. Runaway slaves","Now as someone climbs into an attic, someone offers a hand to help him up.",Runaway slaves,gold,"surround someone, killing one with the bullets.","fill the cramped, dusty space.","urge their body to the ground and rush a cart, then scurries away.",are convulsing on the stage.,1
285,50760,anetv_QQQ7jSVSG3A,11192,A group of belly dancers are posing onstage. They,A group of belly dancers are posing onstage.,They,gold,"begin to dance, swirling their scarves around their bodies as they dance.",leave the art studio.,hold on as they pose in surrender.,are shown and performing capoeira olympic style.,0
549,11567,anetv_Djlmto9iibw,6180,He is back in the water getting cleaned. A person,He is back in the water getting cleaned.,A person,gold,is standing on a coast with ski pipes and ramps.,"is sitting behind a boat, standing on lake calm mist.",is spraying the dog with a hose.,is out of the water spraying routines with a sponge.,2
873,54712,lsmdc3092_ZOOKEEPER-45136,13504,"Keeping his eyes on the animal, he walks backward out of view again. Now, three kids","Keeping his eyes on the animal, he walks backward out of view again.","Now, three kids",gold,stand at the lion enclosure.,decorate the christmas tree.,arrive at school in the now sunshine.,drive through the woodland jumping.,0
444,47016,lsmdc1019_Confessions_Of_A_Shopaholic-80969,1327,"Her black hair pinned up in an elegant bun, someone composes herself and looks towards the altar, at someone's smiling face. After the wedding, someone and the rest of the guests","Her black hair pinned up in an elegant bun, someone composes herself and looks towards the altar, at someone's smiling face.","After the wedding, someone and the rest of the guests",gold,wave as the newlyweds are driven off in a white rolls royce.,come to the mantel piece.,are silent for a moment.,fall to the floor to meet him.,0
389,41802,anetv_C8fyaj592GA,18569,Individuals are using dance moves to exercise using the platform. The people,Individuals are using dance moves to exercise using the platform.,The people,gold,are leading the groups as their group rises on their feet.,lift their hands as they clap with batons.,do jumping jacks to the right of the platform.,"are full waiting together, flipping on the stilts.",2
801,25712,lsmdc0026_The_Big_Fish-62087,6182,"Someone ducks a bit so the Mayor can put the key around his neck. And with that, people",Someone ducks a bit so the Mayor can put the key around his neck.,"And with that, people",gold,hurry along a corridor in maize sprawled as someone inside the water.,hurry through a desk door into the corridor.,"start walking, waving as they go.",stare intently at the passenger car of someone.,2
901,56996,anetv_FSe9tVYHgBc,5782,Two men in red suits jump off of the bridge together. The people on the bridge,Two men in red suits jump off of the bridge together.,The people on the bridge,gold,cheer on the jumpers.,begin dancing around tubes.,are talking around the chamber.,go face to face.,0
373,19986,anetv_5BuDj1xkpiI,8264,We see an illustration on how to add the wash using a brush. We,We see an illustration on how to add the wash using a brush.,We,gen,see the person vacuuming a clean snow with a shovel.,return with the title after the product.,keep hammering in place to see the commentary inside.,see a man playing mowing the grass.,1
118,14404,lsmdc0033_Amadeus-66970,9818,"Cu, someone in his box, tears on his cheeks. He watches the ensemble and we","Cu, someone in his box, tears on his cheeks.",He watches the ensemble and we,gold,can see that it's a careless pace.,listen to it for a long moment.,see someone's playing in the night with the sheets.,see someone approaching through his black beard.,1
173,8321,lsmdc0014_Ist_das_Leben_nicht_schoen-55052,18814,Someone sort of hangs his head. Someone,Someone sort of hangs his head.,Someone,gold,gives it a firm shake.,fixes him with a very interested look.,pulls off one of his dead wallets.,throws the thief back around.,1
190,30300,lsmdc3016_CHASING_MAVERICKS-6478,14858,"With a satisfied smile, someone steps away from the overlook. Now someone","With a satisfied smile, someone steps away from the overlook.",Now someone,gen,walks down a sidewalk with someone.,sits in a changing room with someone with a black hood over her head.,gives a news report on a blackjack bench.,leans against the desk.,0
646,40431,anetv_xpKAvKrrBDs,16973,A young boy is seen sitting before a ball pit and looking towards the camera. He,A young boy is seen sitting before a ball pit and looking towards the camera.,He,gold,grabs a racket and begins filling it up with mallets.,is then seen standing to the people and playing and continues riding around the track.,crawls around a play area and goes down a slide.,finishes using his hands to signal the ball while the camera zooms in on the swimmer.,2
417,60720,anetv_vZzl0RbIQPM,15033,The many lemons are juiced one by one. The host,The many lemons are juiced one by one.,The host,gold,"holds the large glass and pour it to the chef teresa, and give the star to the bartender hot and taste the food.",cuts the lemon aside and finally the man plops down and puts his drink in a pan.,sits on the bench and picks up a lady in the living room.,"fills the container with ice and pours in the liquid ingredients, followed by basil and lemon slices.",3
253,68795,lsmdc0038_Psycho-67290,5872,"After a moment she tears the page out of the notebook and, rising, begins to rip it into small pieces. She","After a moment she tears the page out of the notebook and, rising, begins to rip it into small pieces.",She,gold,struggles to release it.,"emerges from woman's shadowy bedroom, finding its door shut.","gets up, goes to her office door and enters a kitchen.","goes into the bathroom, drops the pieces into the toilet bowl, flushes the toilet.",3
984,70774,anetv_-fuvIQpA-QQ,15054,"A teen boy is standing in a kitchen, holding a pitcher and talking. He","A teen boy is standing in a kitchen, holding a pitcher and talking.",He,gold,demonstrates diving two times before diving.,fills the pitcher with water at the sink.,he begins slicing the ice in a cocktail bar in front of the glass.,then begins flipping throws during a bowling alley.,1
88,34719,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86381,815,Someone wears a searching expression. Someone,Someone wears a searching expression.,Someone,gen,grins up at someone.,looks plainly around the tent.,finishes with a signed aloud and leaves.,"quickly slows to shoulder turns, allowing him to leave.",0
824,72365,lsmdc1026_Legion-5789,7273,"He sparks up a flame, igniting the gas. Someone","He sparks up a flame, igniting the gas.",Someone,gold,takes flight as flames engulf the diner and the possessed outside.,leafs through a stack of matches and tips down beside a cup.,commands one of the adorning his metal workroom.,burns into a lug nuts.,0
680,56770,anetv_Quj1J31xQFM,7427,A guy rinses his face with water from the body of water. The guy,A guy rinses his face with water from the body of water.,The guy,gen,puts soap and cream in his face and hands at a bar.,lifts the skier slowly in front of the camera and gives a thumbs up.,applies shaving cream to his face and continues shaving his neck.,retrieves the fish from his hands and puts it in the guy's hand.,2
289,55579,anetv_uaGy1W-EYWU,7090,"Once he is done, another person comes up and he begins spinning around on his head as a colorful hula hoop begins spinning around his waist. He completes his performance and the crowd","Once he is done, another person comes up and he begins spinning around on his head as a colorful hula hoop begins spinning around his waist.",He completes his performance and the crowd,gold,claps for his audience.,jumps up and congratulates the man.,jumps happily around the applause.,appears again at the same time sets to do what jumps on the grass.,1
611,10965,anetv_ijSmiDjlmlU,9012,A lady helps the child in the water. The lady,A lady helps the child in the water.,The lady,gold,runs into the mans feet.,lifts her legs again.,helps a boy in the water.,jogs over and claps.,2
575,29001,anetv_ZKSORB5ygRM,8304,He gears up for the surf. He then,He gears up for the surf.,He then,gold,surfs across a large wave.,slides into the sand.,gets under the water by the car and looks outside.,swims along the way by the pool.,0
87,28366,lsmdc3036_IN_TIME-15537,15215,"Now in a deserted area, two timekeeper cars speed across another overpass. Below, the Roadster","Now in a deserted area, two timekeeper cars speed across another overpass.","Below, the Roadster",gen,stands before the rail.,are in front of a large circular panel on the machine.,pulls up outside someone's home.,flies from the porthole.,2
687,15866,lsmdc3023_DISTRICT_9-11002,16246,Someone's son stands beside someone. He,Someone's son stands beside someone.,He,gen,starts to lift the volume onto a carved shotgun.,makes a few gestures then heads out.,covers his eyes with the sheet light.,approaches someone and someone.,1
871,14182,lsmdc3066_THE_ADVENTURES_OF_TINTIN-31993,10621,"Someone, someone and someone step down a gang plank. Someone","Someone, someone and someone step down a gang plank.",Someone,gen,patterned passengers enter an coatcheck area.,grabs her father's coat off the peg.,stands fully dressed with the chain folded over their chest.,has the second truck coming to life.,2
180,21182,lsmdc3033_HUGO-15010,6984,Someone takes off his hat as he steps forward with someone. He,Someone takes off his hat as he steps forward with someone.,He,gold,"twirls his sword and regards someone, who gives a mocking nod.",turns his head and someone hugs someone who transforms into one of his friends.,looks at the prone minister who's waiting for his mother.,glances at someone who stands nearby staring at them.,3
435,39311,lsmdc1045_An_education-90323,17620,"Stunned, someone turns to leave. Someone","Stunned, someone turns to leave.",Someone,gen,creeps past someone's garage with his gun drawn and sees the gate open.,stares at someone with a stricken handkerchief.,"smiles at someone, who puts his blindfold down a box.",turns to face him.,3
487,71368,lsmdc3082_TITANIC1-38805,9662,She closes her eyes as someone paces behind her. Someone,She closes her eyes as someone paces behind her.,Someone,gold,"'s wheelchair grabs her, but it does n't fire.",snuggles back along the counter and wraps her arms around his neck.,partially steps forward and sits beside him.,peers sideways at someone as he walks away.,3
522,68142,lsmdc3089_XMEN_FIRST_CLASS-43481,2558,A hatch on top of the sub opens and someone's dark - haired cohort climbs out wearing a tailored purple suit. Someone,A hatch on top of the sub opens and someone's dark - haired cohort climbs out wearing a tailored purple suit.,Someone,gold,dashes through the standing someone.,accompanies a woman in a wheelchair.,peers at the someone.,hands place someone's finger - gun alert.,2
644,32439,anetv_A1EflBqBv14,6805,Two people are seen sitting on a couch and then down to the floor. They,Two people are seen sitting on a couch and then down to the floor.,They,gold,go up and down the flagpole up a couple of times.,kiss the rest then continue on with other people pumping their hands.,place their hands out and begin arm wrestling one another.,begin playing in volleyball cups and shaking one another.,2
569,45658,lsmdc3019_COLOMBIANA-9199,11660,"Someone watches from a safe distance as smoldering debris rains down. In the hidden compartment, someone",Someone watches from a safe distance as smoldering debris rains down.,"In the hidden compartment, someone",gold,sits on benches on a tiled corridor.,pulls off the engine.,presses his ear to the panel.,pauses over his work out amongst the grain and malevolent figures.,2
922,13506,lsmdc1033_Sherlock_Holmes_A_Game_of_Shadows-85394,10958,"As soon as he is gone, an armchair over by the wall appears to spring to life. It","As soon as he is gone, an armchair over by the wall appears to spring to life.",It,gold,streams into an enormous jar of lava that he was placing.,'s someone wearing one of his camouflage outfits.,drives across the ground in front of the school reception.,"up again, the taller dancer goes naked and shifting the body of the flying fan.",1
240,66283,lsmdc3010_BIG_MOMMAS_LIKE_FATHER_LIKE_SON-195,15962,"Outside, someone waddles up to a door in his someone disguise. He","Outside, someone waddles up to a door in his someone disguise.",He,gold,peers through a window to find the security guard dancing with a screwdriver in his mouth.,jumps then flight through the front door and into the bathroom.,kicks his limbs off the away.,saunters down a hall decorated with braces and children with blossom.,0
203,70564,anetv_4L0AI0f-cMs,8012,Instructions appear at the bottom of the screen before fondant baby parts are shown being placed after the cake is frosted. The cake,Instructions appear at the bottom of the screen before fondant baby parts are shown being placed after the cake is frosted.,The cake,gold,is complete as a woman's stomach with a baby foot protruding from her dress.,has the color and the boy about this the girl.,is sliced by the sandwich and two combs and sliced along a cutting board.,"continues to peel and onions are mixed with sugar, kale, and chips.",0
218,62478,lsmdc3015_CHARLIE_ST_CLOUD-1012,8411,"She eyes him quizzically, her smile gradually fading. He","She eyes him quizzically, her smile gradually fading.",He,gen,gazes to her father.,imitates the next page.,descends on another swell of dirt.,is 13 years old.,0
235,32895,anetv_fCLnOf-YjEI,16954,Another person behind them is holding a snow shovel. A black truck,Another person behind them is holding a snow shovel.,A black truck,gen,"rolls out of the car, then them.",drives through the snow of snow and faces the interior of the mountain.,screeches to a stop behind it.,is driving a van inside a village.,2
490,55109,anetv_le1aEgEms9Y,8045,Takes out some toothbrushes and some toothpaste and sets them on the counter. She,Takes out some toothbrushes and some toothpaste and sets them on the counter.,She,gold,sips coffee water from a second tray.,starts rolling the game back together.,are stopped and clean them rims.,sits down on the floor and begins to alternate between brushing her own teeth and brushing the dog's teeth.,3
709,68202,anetv_jQR4Hhaf8o8,15974,People start dancing on the stage in front of the stands. They all,People start dancing on the stage in front of the stands.,They all,gen,do a moves routine in the hallway for the crowd.,get up and start dancing.,hold their hands out for him and point to him.,clap while talking about their performance.,2
325,63323,lsmdc3077_THE_VOW-35710,12343,"Standing at a partially - formed clay sculpture, someone gives a tense look. He","Standing at a partially - formed clay sculpture, someone gives a tense look.",He,gen,smashes the glass with a rag and lays it over someone.,gently touches the scar on someone's shoulder.,holds someone's coat.,pulls his gun into his mouth and smells it tightly.,2
411,48167,lsmdc3088_WHATS_YOUR_NUMBER-41984,13396,"From behind her, an arm in a blazer flaps into view, its hand latching onto her breast. Someone","From behind her, an arm in a blazer flaps into view, its hand latching onto her breast.",Someone,gen,watches someone approaching from behind.,nudges her head out and pulls her earpiece out.,remains back in her seat.,slaps the incoming call.,2
377,22670,lsmdc3014_CAPTAIN_AMERICA-5973,461,"As someone lowers her head, someone walks out, leaving her alone. The sun","As someone lowers her head, someone walks out, leaving her alone.",The sun,gold,casts her brightly decorated reflection lounging in an armchair discussion about someone's lover.,is coming out from the horizon.,shines low in the sky across a windblown expanse of ice and snow.,"shines on the horizon, its broken up skull.",2
813,11810,lsmdc0001_American_Beauty-45783,10053,"He salutes someone good - naturedly, grinning. He","He salutes someone good - naturedly, grinning.",He,gold,skates out and faces the house.,twirls around as he points some large cables behind the guy.,takes off his shirt and sets it on the table.,heads into the house.,3
