,Unnamed: 0,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
733,66321,anetv_i0rC2mfp7mI,1147,"A man dressed in all black and a mask on is outside in a public place playing and instrument with bags in the middle and small keyboard on the outside of it. As he plays, multiple people",A man dressed in all black and a mask on is outside in a public place playing and instrument with bags in the middle and small keyboard on the outside of it.,"As he plays, multiple people",gold,move under and pulls the camera off.,continue to shuffle down the track into a national position.,"are shown playing beer bongo seductively, staring across the field while still walking and speaking to the camera.",walk by continuing on with their life.,3
669,56339,lsmdc3013_BURLESQUE-4857,13933,"She sits on a step and kicks her feet in the air. Facing the audience, she",She sits on a step and kicks her feet in the air.,"Facing the audience, she",gold,"quickly spreads her knees, then crosses her legs.",holds her gaze and makes her way back to the braid.,starts to read the action as she crawls toward her.,licks her lips and licks it.,0
385,9544,anetv_xYeqvN8cihg,17379,The time begins and the boy begins to try and solve the cube as the other boy records his record of 12: 31. The boy then receives a paper and,The time begins and the boy begins to try and solve the cube as the other boy records his record of 12: 31.,The boy then receives a paper and,gold,is surprised when a scoreboard that is performed.,is congratulated by his friends.,writes it while the boys watch.,the girl in white kicks up a piece of serves to retrieve it.,1
102,61273,anetv_uyGxlvak-Bg,10712,The woman in the black shirt is mixing a paste together in a bowl. She,The woman in the black shirt is mixing a paste together in a bowl.,She,gen,has the sheet taken and dried.,adds a toothpick to the glass.,wiped the glass with a orange sponge and cut the grass.,mix it with oil and cream.,3
403,11119,anetv_hsPepNAzu_Q,2325,We see the horses in the stables. We,We see the horses in the stables.,We,gold,see an scroll in the screen.,see a man of a horse close back.,see the people ride in the woods an in a ring.,see the kids knitting with horses.,2
45,38432,anetv_mnv-Qz4QDfU,5227,They are shown in a series of images posing together. We also,They are shown in a series of images posing together.,We also,gen,show them different men as they perform some ballet.,see shown for an interview for a matador.,"begin showing images of men performing, performing stunts as they dance and perform tricks.",appear to be wearing outfits.,2
831,9678,lsmdc3033_HUGO-14299,12882,Her dog pulls her away from the cafe. As station agents,Her dog pulls her away from the cafe.,As station agents,gold,show someone's attention.,"kneel down, they pass the intruder's courtyard through another open door.",head down the sidewalk to the security's apartment.,rush to her aide.,3
527,70176,anetv_LRhkbJ9dcP8,8275,The lady scrunches the wet hair as she blow dries it. We see an instruction scene and the lady,The lady scrunches the wet hair as she blow dries it.,We see an instruction scene and the lady,gold,leans forward as her hair is being blow dried.,dries him a towel.,washes her hair as she swings the beanie with her work.,lifts the lady's lower arm.,0
63,26361,lsmdc1051_Harry_Potter_and_the_goblet_of_fire-7388,13137,"In the courtyard, students say goodbye at the end of term. Someone","In the courtyard, students say goodbye at the end of term.",Someone,gold,finds someone in the crowd and gives her a note.,looks up from his magazine and matches to the taxi.,starts out of the way and the person smacks his hands around someone's face.,feels a white floor.,0
34,59613,anetv_GBNj2k2OVGo,3057,The man blow so hard on his saxophone. A white bird,The man blow so hard on his saxophone.,A white bird,gen,plays on someone's mouth.,is skateboarding in the doorway.,flies out of view.,continues to swirl out into the background.,2
464,12606,anetv_RPkH81M6-NE,7322,A graphic screen in blue appears with a company logo with a motto underneath. There is a woman on a boat passing buildings and a faded blue graphic with white letters,A graphic screen in blue appears with a company logo with a motto underneath.,There is a woman on a boat passing buildings and a faded blue graphic with white letters,gold,appears at the bottom of the screen.,appears with two people.,unrolling a tire on which reads that the segments.,in the middle of the kites.,0
502,56323,anetv_6-P9SRNbwac,6418,"First the girl on the right speaks, and then her friend in a purple t - shirt speaks next. She finishes by turning to her friend and they","First the girl on the right speaks, and then her friend in a purple t - shirt speaks next.",She finishes by turning to her friend and they,gold,continue to blow sitting into each other's hands.,shake each others drinks.,laugh to each other and is trying to get the ball.,"get up, grabbing hands, and exit the scene to the right.",3
788,11748,anetv_M_CU9guT3C0,3667,"The woman opens the faucet and washes a dish with the brush, then she brush her hand while explaining. Then, she washes a dish with the brush, then she","The woman opens the faucet and washes a dish with the brush, then she brush her hand while explaining.","Then, she washes a dish with the brush, then she",gen,sprays dishes before raising it.,squirts toilet foam and rinse it together.,"talks on it, then clean it clean.",wipes it on a cloth.,3
603,63104,lsmdc3070_THE_CALL-33142,6283,He drags the struggling woman across the room. She pulls away with all her might and someone,He drags the struggling woman across the room.,She pulls away with all her might and someone,gold,pushes the rain on the bed.,takes her head and shoves it into the utility sink full of water.,"throws darts at the uncovered, chokes wall.",emerges from a chair in a makeshift set.,1
565,6438,anetv_rq-Xyoo5Rs0,16824,People are doing flips by running and jumping to the wall. boys,People are doing flips by running and jumping to the wall.,boys,gold,are standing on other rooms performing martial arts moves.,do back flips on a blue mat.,are going on of diving together doing cartwheel.,are in a red circle getting hit and consistently.,1
130,58720,anetv_u713piB4VWk,8956,Two wrestlers then bend down and walk around the pit a bit followed by wrestling one another. One man,Two wrestlers then bend down and walk around the pit a bit followed by wrestling one another.,One man,gold,throws the other down and leads into clips of the city.,flips on to his feet and gives them go back to the boy.,"makes up onto the wall, one another and attempts to do an arm wrestle.",walks away with the group while putting an arm around the other.,0
601,67109,anetv_D5A6eBnKmD8,18705,Men are in a gym in full padding. the man,Men are in a gym in full padding.,the man,gen,is then shown getting his legs thrust between the legs of the man in the costume.,gets tissue paper from the ground in front of the pile and starts roofing it.,is doing iron lugs and white clothes.,is talking on the step demonstrating how to exercising.,3
537,65072,anetv_fTQYGNJpSUk,13657,"While they are talking, a game is being played and the two watches them. After, the man begins teaching her various techniques used in the game and they","While they are talking, a game is being played and the two watches them.","After, the man begins teaching her various techniques used in the game and they",gen,are about the mechanics of the game.,continue doing gymnastic moves across the field.,begin playing the game during the game.,engage in a game of bowling games.,2
942,72830,lsmdc3081_THOR-38000,11205,"Sitting atop it's back, someone grins then frowns as the Destroyer's hollow head glows once again. It","Sitting atop it's back, someone grins then frowns as the Destroyer's hollow head glows once again.",It,gold,mounts the sky outside where several other meerkats join the explosion and flies around.,stare at the city all their way through the narrow stream.,'s rib segments twist and rotate until someone finds herself standing on the destroyer's chest.,"sits beside a black horse, fitted and shredded electrocutes.",2
112,69249,anetv_r9OvUc28Qi8,19134,"A large group of people are in an area walking, talking and hanging out. Two men with a referee in the middle appear on a stage and they","A large group of people are in an area walking, talking and hanging out.",Two men with a referee in the middle appear on a stage and they,gen,are shown playing badminton as they join in front of a crowd of people watching.,"are blocked as one group plays and one scores behind the pool stops, then a wrestling player pushes a blue ball attached.",begin to play a game of tug of war.,are shooting at them and pose for the finish then the men show a couple who are falling in the field.,2
756,47953,lsmdc3061_SNOW_FLOWER-29842,11193,"Standing in a hallway, a pregnant someone eavesdrops on the conversation. She","Standing in a hallway, a pregnant someone eavesdrops on the conversation.",She,gold,approaches someone and shakes his hand stiffly.,puts her arms around her hips and her eyes dart forward.,exits the room and sees someone.,"rises, and continues to kiss her face.",2
22,55853,lsmdc3040_JULIE_AND_JULIA-17656,14916,"Now a woman packs an original copy of Mastering the Art of French Cooking into a box with more cookbooks, then thrusts it into a packed jeep. She","Now a woman packs an original copy of Mastering the Art of French Cooking into a box with more cookbooks, then thrusts it into a packed jeep.",She,gen,uses a guide to feed the loaf to the package as she approaches.,shines her flashlight at a closed window on the inside.,"sits in her seat, waiting.",rests her head on the device with a printed certificate.,2
659,67295,lsmdc1051_Harry_Potter_and_the_goblet_of_fire-6608,7330,"The Durmstrang students stride dramatically into the hall, wearing Slavic, military - style uniforms. Each","The Durmstrang students stride dramatically into the hall, wearing Slavic, military - style uniforms.",Each,gold,plays a flip in front of someone.,inspector runs over to the comfy sofa with brightly plastic designs and talks.,lake stands displayed lies a vaulted ceiling where people stand by someone outside the desk.,carries a long staff.,3
38,24564,lsmdc3006_A_GOOD_DAY_TO_DIE_HARD-2830,16700,"Someone forces the truck toward the side of the road. With his face tense, someone",Someone forces the truck toward the side of the road.,"With his face tense, someone",gen,shakes his head slightly.,bobs his head and faces the wrecked city.,pulls on the windscreen of the car and tries to disembark.,draws himself by creeping slowly along a hay wagon.,0
566,70840,lsmdc1010_TITANIC-77053,8584,Men dashed along catwalks as turning gears pumped huge pistons up and down. The mustached foreman,Men dashed along catwalks as turning gears pumped huge pistons up and down.,The mustached foreman,gen,is wearing a grey crooked leotard as he unbuttons his shirt and grabs it.,sets down his rifle then glances behind the computer.,"turns, his treacherous face on the elevator.",walks on the road.,2
926,47598,lsmdc1007_Spider-Man1-74750,2809,A cigarette by someone threw out of the window is thrown back. Someone,A cigarette by someone threw out of the window is thrown back.,Someone,gen,is conspicuously in the back wheel.,stops a young brother with another man.,takes a cover where the book is captured.,appears in the darkness and slips inside.,3
740,26410,lsmdc3055_PROMETHEUS-26819,15429,The probe casts its flickering light at the far end of the chamber as the android goes in. He,The probe casts its flickering light at the far end of the chamber as the android goes in.,He,gen,removes a phone from the dictaphone on its back.,sees someone and someone at the back of the tunnel.,shuts his eyes again.,ames lies beside her and two guards draw close.,2
528,9417,anetv_wPYr19iFxhw,9432,A man walks up next to it and picks up a hose. He,A man walks up next to it and picks up a hose.,He,gen,takes a puff and continues to show how closely it is.,throws the ball inside a can and presents it to the camera.,takes a big puff and blows smoke out of the pipe.,looks at the radio again.,3
