,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
0,0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,A. ignore,B. enforce,C. authoritarian,D. yell at,E. avoid
1,1,Sammy wanted to go to where the people were.  Where might he go?,people,A. race track,B. populated areas,C. the desert,D. apartment,E. roadblock
2,0,To locate a choker not located in a jewelry box or boutique where would you go?,choker,A. jewelry store,B. neck,C. jewlery box,D. jewelry box,E. boutique
3,3,Google Maps and other highway and street GPS services have replaced what?,highway,A. united states,B. mexico,C. countryside,D. atlas,E. oceans
4,2,"The fox walked from the city into the forest, what was it looking for?",fox,A. pretty flowers.,B. hen house,C. natural habitat,D. storybook,E. dense forest
5,3,What home entertainment equipment requires cable?,cable,A. radio shack,B. substation,C. cabinet,D. television,E. desk
6,4,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",drawstring bag,A. garbage can,B. military,C. jewelry store,D. safe,E. airport
7,1,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,A. carpet,B. refrigerator,C. breadbox,D. fridge,E. coach
8,4,What do people use to absorb extra ink from a fountain pen?,fountain pen,A. shirt pocket,B. calligrapher's hand,C. inkwell,D. desk drawer,E. blotter
9,3,Where is a business restaurant likely to be located?,restaurant,A. town,B. at hotel,C. mall,D. business sector,E. yellow pages
10,1,Where do you put your grapes just before checking out?,grape,A. mouth,B. grocery cart,C. super market,D. fruit basket,E. fruit market
11,2,"Before getting a divorce, what did the wife feel who was doing all the work?",getting divorce,A. harder,B. anguish,C. bitterness,D. tears,E. sadness
12,2,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,bench,A. state park,B. bus depot,C. garden,D. gym,E. rest area
13,0,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,cooling off,A. loss of heat,B. revenge,C. expansion,D. relaxation,E. calm down
14,2,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",house,A. yard,B. basement,C. kitchen,D. living room,E. garden
15,3,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",marsh,A. low lands,B. new york,C. forest,D. louisiana,E. everglades
16,4,What is it called when you slowly cook using a grill?,grill,A. backyard,B. restaurant,C. crockpot,D. neighbor's house,E. barbeque
17,3,What type of person typically contracts illness?,illness,A. hospital,B. head,C. sick person,D. elderly person,E. doctor's office
18,3,Where would you expect to find a pizzeria while shopping?,pizzeria,A. chicago,B. street,C. little italy,D. food court,E. capital cities
19,1,"When eating everything on the tasting menu, what does one tend to feel?",eating,A. full stomach,B. getting full,C. gaining weight,D. sick,E. satisfaction
20,4,What does playing soccer for a long time lead to?,playing soccer,A. excitement,B. fatigue,C. anger,D. hurting,E. getting tired
21,1,Which entrance would you use if you do not want to use the back entrance?,back,A. side,B. main,C. anterior,D. current,E. front
22,3,You can share files with someone if you have a connection to a what?,connection,A. freeway,B. radio,C. wires,D. computer network,E. electrical circuit
23,4,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",accelerator,A. car,B. fuel system,C. accelerate,D. boat,E. airplane
24,2,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",lying,A. the reward money,B. hurt feelings,C. being found out,D. problems,E. trouble
25,3,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",run errands,A. park,B. make time for,C. receive instructions,D. take money,E. leave work
26,3,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",rest,A. walk,B. lay down,C. working,D. moving,E. exercise
27,3,Too many people want exotic snakes.  The demand is driving what to carry them?,snake,A. ditch,B. shop,C. north america,D. pet shops,E. outdoors
28,4,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",stabbing to death,A. knife wounds,B. buy a gun,C. bleeding,D. jail time,E. law suit
29,0,To prevent any glare during the big football game he made sure to clean the dust of his what?,dust,A. television,B. attic,C. corner,D. they cannot clean corner and library during football match they cannot need that,E. ground
30,2,"I have something in my head I want to share, what ways can I do that?",express information,A. write an essay,B. organize thoughts,C. speak information,D. summarize main points,E. have information
31,1,"He wanted a house that was gated off from other places, where should he start looking?",house,A. neighborhood,B. subdivision,C. city,D. suburbs,E. street
32,3,Where in Southern Europe would you find many canals?,canal,A. michigan,B. new york,C. amsterdam,D. venice,E. bridge
33,3,What would a camper need to do before he or she can start cooking food?,camper,A. make breakfast,B. go hiking,C. pack or bag,D. light fire,E. grab a match
34,2,What could happen to a paper if you leave it outside even if it does not move?,paper,A. one material often recycled,B. ripped,C. saturated with water,D. one dimensional,E. crumpled
35,3,"Mark's semen was very thick, but after his vasectomy it was also what?",thick,A. blank,B. sparse,C. thin,D. clear,E. free flowing
36,3,What is a great place to lay in the sun?,sun,A. in the basement,B. west,C. solar system,D. beach,E. beans
37,0,Where would you find a seafood restaurant in the east coast of North America?,seafood restaurant,A. maine,B. boston,C. beach town,D. coastal cities,E. ocean
38,4,The president is the leader of what institution?,president,A. walmart,B. white house,C. country,D. corporation,E. government
39,3,Sitting to close while watching TV can cause what sort of pain?,watching tv,A. brain problems,B. laziness,C. get fat,D. headache,E. laughter
40,3,Where is a bald eagle safe?,bald eagle,A. pine tree,B. open country,C. in washington,D. wildlife refuge,E. sky
