,Unnamed: 0,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
3617,3617,['neutral'],5054184499.jpg#2,neutral,5054184499.jpg#2r2n,A little girl walking down a dirt road behind a group of other walkers.,( ( ( A ( little girl ) ) ( ( ( walking down ) ( a ( dirt road ) ) ) ( behind ( ( a group ) ( of ( other walkers ) ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (JJ little) (NN girl)) (VP (VBG walking) (PRT (RP down)) (NP (DT a) (NN dirt) (NN road)) (PP (IN behind) (NP (NP (DT a) (NN group)) (PP (IN of) (NP (JJ other) (NNS walkers)))))) (. .))),A little girl walking down a dirt road to meet up with her friends.,( ( ( A ( little girl ) ) ( ( ( walking down ) ( a ( dirt road ) ) ) ( to ( ( meet up ) ( with ( her friends ) ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (JJ little) (NN girl)) (VP (VBG walking) (PRT (RP down)) (NP (DT a) (NN dirt) (NN road)) (S (VP (TO to) (VP (VB meet) (PRT (RP up)) (PP (IN with) (NP (PRP$ her) (NNS friends))))))) (. .)))
2975,2975,['contradiction'],6156372684.jpg#0,contradiction,6156372684.jpg#0r1c,"Two men, both wearing green cycling clothes and helmets, are riding bicycles.","( ( ( ( ( Two men ) , ) ( both ( wearing ( green ( cycling ( ( clothes and ) helmets ) ) ) ) ) ) , ) ( ( are ( riding bicycles ) ) . ) )","(ROOT (S (NP (NP (CD Two) (NNS men)) (, ,) (SBAR (WHNP (DT both)) (S (VP (VBG wearing) (NP (JJ green) (NN cycling) (NNS clothes) (CC and) (NNS helmets))))) (, ,)) (VP (VBP are) (VP (VBG riding) (NP (NNS bicycles)))) (. .)))",Two guys eat hamburgers in front of TV.,( ( Two guys ) ( ( eat ( hamburgers ( in ( front ( of TV ) ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS guys)) (VP (VBP eat) (NP (NP (NNS hamburgers)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NN TV))))))) (. .)))
1077,1077,['contradiction'],480607352.jpg#1,contradiction,480607352.jpg#1r1c,A man wearing a colorful and striped sweater plays music in the street.,( ( ( A man ) ( wearing ( a ( ( ( colorful and ) striped ) sweater ) ) ) ) ( ( plays ( music ( in ( the street ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (VP (VBG wearing) (NP (DT a) (ADJP (JJ colorful) (CC and) (JJ striped)) (NN sweater)))) (VP (VBZ plays) (NP (NP (NN music)) (PP (IN in) (NP (DT the) (NN street))))) (. .))),Two goldfish are riding bikes in a giant pile of mashed potatoes.,( ( Two goldfish ) ( ( are ( ( riding bikes ) ( in ( ( a ( giant pile ) ) ( of ( mashed potatoes ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NN goldfish)) (VP (VBP are) (VP (VBG riding) (NP (NNS bikes)) (PP (IN in) (NP (NP (DT a) (JJ giant) (NN pile)) (PP (IN of) (NP (VBN mashed) (NNS potatoes))))))) (. .)))
345,345,['contradiction'],3060969260.jpg#1,contradiction,3060969260.jpg#1r1c,"Two people with bicycles, one in front running with a bike and one in back riding.","( ( ( ( ( Two people ) ( with bicycles ) ) , ) ( one ( in ( front ( ( running ( with ( ( ( a bike ) and ) one ) ) ) ( in ( back riding ) ) ) ) ) ) ) . )","(ROOT (NP (NP (NP (CD Two) (NNS people)) (PP (IN with) (NP (NNS bicycles)))) (, ,) (NP (NP (CD one)) (PP (IN in) (NP (NP (NN front)) (VP (VBG running) (PP (IN with) (NP (NP (DT a) (NN bike)) (CC and) (NP (CD one)))) (PP (IN in) (S (ADVP (RB back)) (VP (VBG riding)))))))) (. .)))",Two people eating ice cream cones at the mall.,( ( ( Two people ) ( ( eating ( ice ( cream cones ) ) ) ( at ( the mall ) ) ) ) . ),(ROOT (NP (NP (CD Two) (NNS people)) (VP (VBG eating) (NP (NN ice) (NN cream) (NNS cones)) (PP (IN at) (NP (DT the) (NN mall)))) (. .)))
1084,1084,['contradiction'],480607352.jpg#3,contradiction,480607352.jpg#3r1c,Street performer in colorful shirt performing with small guitar.,( ( ( ( Street performer ) ( in ( colorful shirt ) ) ) ( performing ( with ( small guitar ) ) ) ) . ),(ROOT (NP (NP (NP (NNP Street) (NN performer)) (PP (IN in) (NP (JJ colorful) (NN shirt)))) (VP (VBG performing) (PP (IN with) (NP (JJ small) (NN guitar)))) (. .))),The street performer is sleeping on a park bench.,( ( The ( street performer ) ) ( ( is ( sleeping ( on ( a ( park bench ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN street) (NN performer)) (VP (VBZ is) (VP (VBG sleeping) (PP (IN on) (NP (DT a) (NN park) (NN bench))))) (. .)))
1062,1062,['contradiction'],462663804.jpg#3,contradiction,462663804.jpg#3r1c,Two guys playing football on a campus green.,( ( ( Two guys ) ( ( playing football ) ( on ( a ( campus green ) ) ) ) ) . ),(ROOT (NP (NP (CD Two) (NNS guys)) (VP (VBG playing) (NP (NN football)) (PP (IN on) (NP (DT a) (NN campus) (NN green)))) (. .))),They are eating fried fish on the boat,( They ( are ( ( eating ( fried fish ) ) ( on ( the boat ) ) ) ) ),(ROOT (S (NP (PRP They)) (VP (VBP are) (VP (VBG eating) (NP (JJ fried) (NN fish)) (PP (IN on) (NP (DT the) (NN boat)))))))
359,359,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",2798884617.jpg#3,contradiction,2798884617.jpg#3r1c,Four teenage boys are doing cannonballs into a swimming pool.,( ( Four ( teenage boys ) ) ( ( are ( ( doing cannonballs ) ( into ( a ( swimming pool ) ) ) ) ) . ) ),(ROOT (S (NP (CD Four) (JJ teenage) (NNS boys)) (VP (VBP are) (VP (VBG doing) (NP (NNS cannonballs)) (PP (IN into) (NP (DT a) (VBG swimming) (NN pool))))) (. .))),Some boys are eating pizza in a restaurant.,( ( Some boys ) ( ( are ( ( eating pizza ) ( in ( a restaurant ) ) ) ) . ) ),(ROOT (S (NP (DT Some) (NNS boys)) (VP (VBP are) (VP (VBG eating) (NP (NN pizza)) (PP (IN in) (NP (DT a) (NN restaurant))))) (. .)))
901,901,['contradiction'],5201259529.jpg#4,contradiction,5201259529.jpg#4r1c,A man is using his computer while seated at a desk.,( ( A man ) ( ( is ( ( using ( his computer ) ) ( while ( seated ( at ( a desk ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG using) (NP (PRP$ his) (NN computer)) (SBAR (IN while) (S (VP (VBN seated) (PP (IN at) (NP (DT a) (NN desk)))))))) (. .))),A woman drinks a beer at her desk.,( ( A woman ) ( ( drinks ( ( a beer ) ( at ( her desk ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ drinks) (NP (NP (DT a) (NN beer)) (PP (IN at) (NP (PRP$ her) (NN desk))))) (. .)))
1560,1560,['contradiction'],179172576.jpg#3,contradiction,179172576.jpg#3r1c,man in red canada shirt standing with three men in army uniform,( man ( in ( ( red ( canada shirt ) ) ( standing ( with ( ( three men ) ( in ( army uniform ) ) ) ) ) ) ) ),(ROOT (NP (NP (NN man)) (PP (IN in) (NP (NP (JJ red) (NN canada) (NN shirt)) (VP (VBG standing) (PP (IN with) (NP (NP (CD three) (NNS men)) (PP (IN in) (NP (NN army) (NN uniform)))))))))),Man eating pizza,( ( Man eating ) pizza ),(ROOT (INTJ (UH Man) (NN eating) (UH pizza)))
3002,3002,['contradiction'],4460943467.jpg#2,contradiction,4460943467.jpg#2r1c,Three boys in hooded sweatshirts standing and looking at camera.,( ( ( ( Three boys ) ( in ( hooded sweatshirts ) ) ) ( ( ( standing and ) looking ) ( at camera ) ) ) . ),(ROOT (NP (NP (NP (CD Three) (NNS boys)) (PP (IN in) (NP (JJ hooded) (NNS sweatshirts)))) (VP (VBG standing) (CC and) (VBG looking) (PP (IN at) (NP (NN camera)))) (. .))),Three girls having a tea party.,( ( ( Three girls ) ( having ( a ( tea party ) ) ) ) . ),(ROOT (NP (NP (CD Three) (NNS girls)) (VP (VBG having) (NP (DT a) (NN tea) (NN party))) (. .)))
