,Unnamed: 0,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
1273,1273,['contradiction'],222759342.jpg#4,contradiction,222759342.jpg#4r1c,A small girl stands among many large watermelons.,( ( A ( small girl ) ) ( ( stands ( among ( many ( large watermelons ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ small) (NN girl)) (VP (VBZ stands) (PP (IN among) (NP (JJ many) (JJ large) (NNS watermelons)))) (. .))),There is a girl sitting near the watermelon,( There ( is ( ( a girl ) ( sitting ( near ( the watermelon ) ) ) ) ) ),(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT a) (NN girl)) (VP (VBG sitting) (PP (IN near) (NP (DT the) (NN watermelon))))))))
3608,3608,['neutral'],1499581619.jpg#1,neutral,1499581619.jpg#1r1n,A couple dressed in hoodies kissing on the beach.,( ( A couple ) ( ( dressed ( in ( hoodies ( kissing ( on ( the beach ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN couple)) (VP (VBD dressed) (PP (IN in) (NP (NP (NNS hoodies)) (VP (VBG kissing) (PP (IN on) (NP (DT the) (NN beach))))))) (. .))),there is a couple in love,( there ( is ( ( a couple ) ( in love ) ) ) ),(ROOT (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (NN couple)) (PP (IN in) (NP (NN love)))))))
439,439,['neutral'],621000329.jpg#4,neutral,621000329.jpg#4r1n,A young girl sitting at a table with a bowl on her head,( ( A ( young girl ) ) ( sitting ( at ( ( a table ) ( with ( ( a bowl ) ( on ( her head ) ) ) ) ) ) ) ),(ROOT (S (NP (NP (DT A) (JJ young) (NN girl)) (VP (VBG sitting) (PP (IN at) (NP (NP (DT a) (NN table)) (PP (IN with) (NP (NP (DT a) (NN bowl)) (PP (IN on) (NP (PRP$ her) (NN head))))))))))),A toddler dumped her bowl of spaghetti on her head,( ( A toddler ) ( ( dumped ( ( her bowl ) ( of spaghetti ) ) ) ( on ( her head ) ) ) ),(ROOT (S (NP (DT A) (NN toddler)) (VP (VBD dumped) (NP (NP (PRP$ her) (NN bowl)) (PP (IN of) (NP (NNS spaghetti)))) (PP (IN on) (NP (PRP$ her) (NN head))))))
4563,4563,['contradiction'],4822562213.jpg#1,contradiction,4822562213.jpg#1r1c,Many cabs lining up at a station close to an elevator.,( ( ( Many cabs ) ( ( ( lining up ) ( at ( a ( station close ) ) ) ) ( to ( an elevator ) ) ) ) . ),(ROOT (NP (NP (JJ Many) (NNS cabs)) (VP (VBG lining) (PRT (RP up)) (PP (IN at) (NP (DT a) (NN station) (NN close))) (PP (TO to) (NP (DT an) (NN elevator)))) (. .))),Many buses are parked at a station.,( ( Many buses ) ( ( are ( parked ( at ( a station ) ) ) ) . ) ),(ROOT (S (NP (JJ Many) (NNS buses)) (VP (VBP are) (VP (VBN parked) (PP (IN at) (NP (DT a) (NN station))))) (. .)))
3263,3263,['contradiction'],3244171699.jpg#2,contradiction,3244171699.jpg#2r1c,Two women and a man are sitting at a round table.,( ( ( ( Two women ) and ) ( a man ) ) ( ( are ( sitting ( at ( a ( round table ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (NNS women)) (CC and) (NP (DT a) (NN man))) (VP (VBP are) (VP (VBG sitting) (PP (IN at) (NP (DT a) (JJ round) (NN table))))) (. .))),the people are plotting an assassination,( ( the people ) ( are ( plotting ( an assassination ) ) ) ),(ROOT (S (NP (DT the) (NNS people)) (VP (VBP are) (VP (VBG plotting) (NP (DT an) (NN assassination))))))
3768,3768,['neutral'],528726853.jpg#3,neutral,528726853.jpg#3r1n,A woman in sunglasses taking a photograph,( ( A woman ) ( in ( sunglasses ( taking ( a photograph ) ) ) ) ),(ROOT (NP (NP (DT A) (NN woman)) (PP (IN in) (NP (NP (NNS sunglasses)) (VP (VBG taking) (NP (DT a) (NN photograph))))))),The woman is taking a picture of a dog.,( ( The woman ) ( ( is ( taking ( ( a picture ) ( of ( a dog ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (VP (VBG taking) (NP (NP (DT a) (NN picture)) (PP (IN of) (NP (DT a) (NN dog)))))) (. .)))
1027,1027,['neutral'],2644916196.jpg#4,neutral,2644916196.jpg#4r1n,Toddler with milk around his mouth.,( ( ( Toddler ( with milk ) ) ( around ( his mouth ) ) ) . ),(ROOT (S (VP (VB Toddler) (PP (IN with) (NP (NN milk))) (PP (IN around) (NP (PRP$ his) (NN mouth)))) (. .))),The child was still unable to drink milk properly.,( ( The child ) ( ( ( was still ) ( unable ( to ( ( drink milk ) properly ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN child)) (VP (VBD was) (ADVP (RB still)) (ADJP (JJ unable) (S (VP (TO to) (VP (VB drink) (NP (NN milk)) (ADVP (RB properly))))))) (. .)))
64,64,['neutral'],190083339.jpg#1,neutral,190083339.jpg#1r2n,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,( ( Woman ( ( ( in ( white ( in foreground ) ) ) and ) ( ( ( a man ) slightly ) ( behind ( walking ( with ( ( a sign ) ( for John ) ) ) ) ) ) ) ) ( ( 's ( ( ( Pizza and ) Gyro ) ( in ( the background ) ) ) ) . ) ),(ROOT (S (NP (NP (NNP Woman)) (PP (PP (IN in) (NP (NP (JJ white)) (PP (IN in) (NP (NN foreground))))) (CC and) (PP (ADVP (NP (DT a) (NN man)) (RB slightly)) (IN behind) (S (VP (VBG walking) (PP (IN with) (NP (NP (DT a) (NN sign)) (PP (IN for) (NP (NNP John)))))))))) (VP (VBZ 's) (NP (NP (NNP Pizza) (CC and) (NNP Gyro)) (PP (IN in) (NP (DT the) (NN background))))) (. .))),They are working for John's Pizza.,( They ( ( are ( working ( for ( ( John 's ) Pizza ) ) ) ) . ) ),(ROOT (S (NP (PRP They)) (VP (VBP are) (VP (VBG working) (PP (IN for) (NP (NP (NNP John) (POS 's)) (NNP Pizza))))) (. .)))
404,404,['neutral'],3178460509.jpg#0,neutral,3178460509.jpg#0r1n,A gray-haired woman in a blue dress coat with snowflakes on it balances something on her head.,( ( ( A ( gray-haired woman ) ) ( in ( ( a ( blue ( dress coat ) ) ) ( with ( snowflakes ( on it ) ) ) ) ) ) ( ( balances ( something ( on ( her head ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ gray-haired) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ blue) (NN dress) (NN coat)) (PP (IN with) (NP (NP (NNS snowflakes)) (PP (IN on) (NP (PRP it)))))))) (VP (VBZ balances) (NP (NP (NN something)) (PP (IN on) (NP (PRP$ her) (NN head))))) (. .))),The woman is guarding herself from the snow.,( ( The woman ) ( ( is ( ( guarding herself ) ( from ( the snow ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (VP (VBG guarding) (NP (PRP herself)) (PP (IN from) (NP (DT the) (NN snow))))) (. .)))
539,539,['contradiction'],3525332706.jpg#2,contradiction,3525332706.jpg#2r1c,Two men are standing outside and snow is on the ground.,( ( ( ( ( Two men ) ( are ( standing outside ) ) ) and ) ( snow ( is ( on ( the ground ) ) ) ) ) . ),(ROOT (S (S (NP (CD Two) (NNS men)) (VP (VBP are) (VP (VBG standing) (ADVP (RB outside))))) (CC and) (S (NP (NN snow)) (VP (VBZ is) (PP (IN on) (NP (DT the) (NN ground))))) (. .))),Men making snow angels.,( ( Men ( making ( snow angels ) ) ) . ),(ROOT (NP (NP (NNS Men)) (VP (VBG making) (NP (NN snow) (NNS angels))) (. .)))
