,Unnamed: 0,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
2204,2204,0,"Through the colorful pages the koala went on quite the adventure, the parent thought it made for a good what?",koala,A. child's book,B. movie,C. australian outback,D. bamboo grove,E. wilderness
1121,1121,2,What is the benefit of ships if there is no bridge available?,ships,A. collide,B. carry people,C. cross river,D. sailors,E. bottom out
3729,3729,2,Where could you be if you are sit quietly?,sit quietly,A. sit down,B. lay down,C. alone,D. go home,E. meditate
1597,1597,0,Jerry was entertaining because he had a super sense of humor.  He brought what to many people?,entertaining,A. laughter,B. excitement,C. like,D. favors,E. happiness
4292,4292,2,What is the primary reason for visiting a shop?,shop,A. spending of money,B. spend too much,C. purchasing,D. sell items,E. compare prices
2438,2438,2,What runway involves shoes that would not be seen on a drag queen?,runway,A. aircraft takeoff,B. military base,C. bowling alley,D. fashion show,E. golf course
2077,2077,3,What do you need to do so that other people can use television?,use television,A. turn on electricity,B. open eyes,C. kill,D. plug in,E. watch television
497,497,0,"David hurt all over. He was tired, he was shaking, and he was in pain.  He hadn't gotten what he needed in a long time.  He was suffering from what?",watching television,A. addiction,B. fatigue,C. relaxation,D. headaches,E. over eating
4228,4228,3,what period did mammoth's live in?,mammoth,A. ancient times,B. marwell comics,C. forest,D. prehistory,E. museum of natural history
2029,2029,4,Where would you see a stranger that is planning to use a large vehicle made up of multiple sections that are attached to each other?,stranger,A. park,B. bus station,C. town,D. bus,E. train station
938,938,2,"Where would you put silverware once they've dried, but you're not ready to use them.",silverware,A. table,B. restaurant,C. cupboard,D. kitchen,E. sink
3926,3926,4,"The lady had her specialized looking glasses and gown ready for the evening, she sent her butler to the ticket office of the what?",ticket office,A. train station,B. end of line,C. arena,D. hero show,E. opera house
60,60,4,What do drugs do?,drugs,A. damage,B. cloud mind,C. lower i.q,D. cause illness,E. cause accidents
3297,3297,2,There are many natural landmarks that need to be protected at what locations?,landmark,A. countryside,B. city,C. national park,D. special place,E. forest
1105,1105,4,The city was very bright this time of year.  There was a much smaller population where?,city,A. suburbs,B. town,C. wilderness,D. outside,E. countryside
3883,3883,4,"The handyman finished installing the hinged door, unfortunately it was getting stuck closed within the what?",hinged door,A. porch,B. jamb,C. pantry,D. own house,E. doorway
2066,2066,3,What can happen with too much relaxing?,relaxing,A. satisfaction,B. laziness,C. invigorating,D. sleeping,E. feeling better
1686,1686,2,"If one is a mechanic, what are they likely to order to their place of work?",mechanic,A. oil machine with grease,B. oil engine,C. machine parts,D. machine tool,E. tools
1722,1722,4,Where is a good place for a woman to store her sunglasses?,sunglasses,A. drugstore,B. movie theater,C. bag,D. shirt pocket,E. purse
4299,4299,0,"He was jealous of the winner, his eyes were what with envy?",eyes,A. green,B. see light,C. blue,D. brown,E. red
2350,2350,1,"She considered a wig, her hair had begun to what up top?",hair,A. composted,B. thin out,C. curl,D. worn free,E. fall out
1920,1920,0,"The  broken bathroom faucet sprayed liquid high up into the air , like what?",faucet,A. water fountain,B. waterfall,C. directing flow of water,D. restroom,E. sink
110,110,4,John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,punching,A. hostility,B. anger,C. nose,D. fists,E. hands
16,16,4,What is it called when you slowly cook using a grill?,grill,A. backyard,B. restaurant,C. crockpot,D. neighbor's house,E. barbeque
1579,1579,4,"The class got to tour the launch pad, one student looked up imagining all the shuttle launches from where?",launch pad,A. nasa,B. space center,C. movie,D. florida,E. cape kennedy
799,799,4,"If I wanted to store my chess pawn when I wasn't using it, what would be a good place for that?",chess pawn,A. chess set,B. strategy,C. toy store,D. chess game,E. small case
3750,3750,3,How might I procure what I need to eat?,eat,A. make food,B. find food,C. prepare food,D. buy food,E. check your cat's mouth
3055,3055,0,"The lizard looked longingly out of its cage, what was the lizards status?",lizard,A. captivity,B. costa rica,C. river,D. encyclopedia,E. garden
4825,4825,3,What is the most common but not long lasting side effect of having a bath?,having bath,A. use of water,B. drowning,C. rash,D. wet skin,E. dry skin
3048,3048,1,"Johnny's behavior was a bigger problem.  Even if the original incident wasn't intentional, his actions afterward are completely what?",bigger,A. accidental,B. detestable,C. effusive,D. enabled,E. shocking
4422,4422,2,Where would you expect to see a human eye?,eye,A. faces,B. potato,C. person's head,D. mammal,E. skull
3258,3258,3,Why do people want to keep working?,working,A. frustration,B. make money,C. boredom,D. being paid,E. blisters
1100,1100,3,"Even if was clean and chlorinated, shallow water wouldn't make for much summer fun in your backyard what?",shallow water,A. lake,B. childrens pools,C. pond,D. swimming pool,E. puddle
4581,4581,0,What does an interstate highway go accross?,interstate highway,A. united states of america,B. gps,C. nebraska,D. texas,E. developed nations
3715,3715,0,"Randy was suffering from great hunger and he didn't even need cheese or toppings, he just wanted to what?",hunger,A. eat hamburger,B. prepare meal,C. eat breakfast,D. cook dinner,E. buy food
4013,4013,2,Where would you find a monitor wall that is used for watching moving lines?,monitor wall,A. studios,B. security office,C. hospital,D. department store,E. guard station
4335,4335,0,Where might a jellyfish get cold?,jellyfish,A. atlantic ocean,B. salt water,C. pacific ocean,D. hypermarket,E. store
3954,3954,1,What could you do inside but not outside if you have boredom?,boredom,A. skateboard,B. hang out at bar,C. laugh,D. go skiing,E. watch film
2613,2613,2,"The traveler needs a place to say, where are hotels located?",place to stay,A. in a palace,B. mexico,C. every country,D. town,E. motel
978,978,2,"The man on the street corner was showing off a wristwatch, he was trying to what it for drug money?",wristwatch,A. jewelry store,B. case,C. hock,D. watch store,E. pawn
1442,1442,2,"Where can you buy clothing, sporting goods, and housewares?",clothing,A. backpack,B. house,C. department store,D. mall,E. table
4753,4753,1,Where would there be a ticket office that has people with suitcases?,ticket office,A. hotel,B. train station,C. opera house,D. end of line,E. city
1058,1058,1,Eating breakfast of garlic might lead to some what?,eating breakfast,A. tasty,B. bad breath,C. dirty dishes,D. better day,E. gain energy
3780,3780,1,What does exercising lead to when you are out of shape?,exercising,A. exhaustion,B. breathlessness,C. tiredness,D. lost weight,E. physical fitness
2945,2945,4,What about you will decrease after you exercise for many months?,exercise,A. work out,B. blood,C. expend energy,D. stretch,E. weigh
3304,3304,1,Washing clothes over and over many times what do they do?,washing clothes,A. transmutate,B. wear out,C. torn,D. get wet,E. wet clothes
471,471,1,"James's bouncing rubber balls were at rest, and so he could sleep.  He would get up in the morning, and then put them in what state again?",rest,A. upside down,B. in motion,C. active,D. wakefulness,E. resthold
3487,3487,2,Where would find a townhouse that is not attached to other houses?,townhouse,A. apartment building,B. suburban development,C. suburbs,D. michigan,E. park
4949,4949,1,HOw do you watch film before its on video?,watch film,A. wear contact lenses,B. go to movies,C. open eyes,D. have eyes,E. rent one
1490,1490,3,"The hipsters tried to take a disingenuous kooky approach to their cafe, they were soon out of business to the competitor who took what kind of approach?",kooky,A. mainstream,B. straight,C. right,D. conventional,E. uneccentric
2057,2057,2,"Playing poker can be casual, but for others they play in tournaments for the prizes and challenge of what?",playing poker,A. fun,B. casinos,C. competition,D. social event,E. losing money
2552,2552,0,Where is a good place to store a ladder?,ladder,A. garage,B. apple orchard,C. roof,D. backyard,E. hardware store
98,98,1,"The skin was cut while chopping onions, where was this skin likely cut?",skin,A. good health,B. finger,C. meat,D. body,E. own family
4302,4302,1,Cows outnumber people 4 to 1 in what state north of Kansas?,cow,A. advertisement,B. nebraska,C. countryside,D. fairy tale,E. iowa
3581,3581,0,Why would you be getting in shape?,getting in shape,A. good health,B. jogging,C. exercise,D. sweat,E. feel better
2812,2812,3,"In America, the courthouse of any given town has a likely location, where is it?",courthouse,A. electrical circuit,B. getting married,C. capital city,D. center of town,E. michigan
4590,4590,2,Where is your condo if you're drinking Schlitz?,condo,A. residential area,B. city,C. milwaukee,D. suburbia,E. schlitztown
1197,1197,3,What kind of structure are in if there is a large chandelier in the foyer?,foyer,A. from the ceiling,B. building,C. apartment,D. mansion,E. spacious house
2165,2165,1,Where would the Air Force keep an airplane?,airplane,A. airport terminal,B. military base,C. sky,D. hanger,E. airplane hangar
2721,2721,0,A tributary of a river is a?,river,A. creek,B. pond,C. lake,D. inlet,E. stream
3067,3067,4,"Billy loves science, history, and art but isn't very creative.  When he was visiting the museum, he felt a great deal of what emotion?",visiting museum,A. inspiration,B. fulfillment,C. wonder,D. boredom,E. enjoyment
637,637,2,Where should you find a school in?,school,A. residential neighborhood,B. mosque,C. every city,D. prague,E. community
4338,4338,2,"The computer user did not know what he was doing at all, this made the instructional course pure what for him?",computer user,A. energy,B. office building,C. hell,D. school,E. house
1647,1647,4,Where is the ficus tree native to?,ficus,A. apartment,B. zoo,C. dictionary,D. tropical forest,E. middle east
2359,2359,0,A worker who never makes much money or status will what?,worker,A. labor in vain,B. case things,C. desire to advance,D. keep busy,E. try harder
109,109,2,How do geese normally get from place to place?,geese,A. carried by people,B. guard house,C. fly,D. follow ultralight airplane,E. group together
3751,3751,0,"The person didn't like the varying size of the cake slices handed out, she demand more what?",person,A. fairness,B. candies,C. compliments,D. well fed,E. arguements
219,219,3,If you were looking for a lemur where would you find it?,lemur,A. russia,B. at home,C. hole,D. field,E. heaven
3923,3923,0,What handle did the man grab to when he wanted a snack?,handle,A. fridge,B. hardware store,C. frying pan,D. water fountain,E. drawer
2666,2666,3,You'll often find wine and crackers served by men in robes where?,wine,A. garden centre,B. bar,C. spaghetti sauce,D. church,E. basement
4100,4100,1,"Mal would cover the whole at night, but he always left a what for his cats?",cover,A. underneath,B. opening,C. closing pots and pans,D. medium,E. leave open
4041,4041,0,In order to wrestle better you lift weights to?,wrestle,A. have strength,B. strong,C. take lessons,D. fo brushing,E. get naked
3538,3538,0,Which door with lock do you secure when running an errand?,door with lock,A. house,B. garage,C. automobile,D. safe,E. trunk
4547,4547,4,What does someone do while going jogging?,going jogging,A. eat icecream,B. lose weight,C. getting tired,D. heart rate increases,E. heavy breathing
4337,4337,3,"The anemone was being harvested for sale in New York, where was it likely taken from?",anemone,A. tide pool,B. nursery,C. michigan,D. atlantic ocean,E. ocean floor
2857,2857,2,"She had seen over 50 marble fountains that day, where was she?",fountain,A. lenin's crypt,B. front of casino,C. rome,D. public place,E. city
3174,3174,1,Where would you be likely to find a dead body?,dead body,A. trunk,B. funeral,C. basement,D. cemetery,E. closet
3395,3395,4,What is the likelihood of drowning when getting wet?,getting wet,A. shrinking,B. feeling cold,C. become cold,D. cool off,E. could
3435,3435,4,"When a leader has committed crimes against their people, what should they do?",leader,A. rule nation,B. die,C. direct people,D. control population,E. step down
1929,1929,3,Joe found a man sleeping in a cardboard box that was used to transport boxes of shoes.  Where is the box most likely located?,cardboard box,A. trash,B. shoe store,C. moviehall,D. back alley,E. storage area
3539,3539,3,"The crab realized that it was in danger at the Tokyo fish market, where did it run away to?",crab,A. cold water,B. aquarium,C. tidepools,D. pacific ocean,E. boiling water
1318,1318,1,What might be a reaction if I were to start communicating to others?,communicating,A. engagement,B. people to think,C. exchanging ideas,D. distributed information,E. sharing of knowledge
2059,2059,3,Where would you find rows and rows of speakers?,speakers,A. desktop,B. headphones,C. town halls,D. concert,E. conference
3069,3069,2,The screwdriver was surprisingly sharp.  This is because it's tip  was what?,sharp,A. blunt,B. inaccurate,C. flat,D. above board,E. dim
2417,2417,3,"There was only one room in the place where Bill slept.  It had a bed, a fridge, a stove, a couch, and a television.  Where might he be?",room,A. motel,B. school,C. hotel,D. apartment,E. friend's house
