,Unnamed: 0,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
4189,4189,3,Where do you keep computer speakers?,speakers,A. produce sounds,B. roof,C. conference,D. desktop,E. concert
4004,4004,2,What is something that you eat that has a heel?,heel,A. foot,B. sandal,C. loaf of bread,D. shoe,E. boot
3834,3834,4,The school has three wings and had enough space for 5000 students. How might one describe it?,wing,A. buffalo,B. hospital,C. birdhouse,D. mansion,E. large building
2127,2127,0,"American humans just graduated high school, where are many of them bound?",humans,A. university,B. park,C. unemployment,D. cafe,E. movies
1883,1883,0,"Bill was a weasel, but he's a weasel you wanted on your side.  He held what?",weasel,A. public office,B. out of doors,C. candles,D. chicken coop,E. barn
3296,3296,3,Where are you if you've received bbq after paying?,bbq,A. ribs,B. backyard,C. texas,D. restaurant,E. louisiana
533,533,3,Where are you if your reading magazines while waiting for a vehicle on rails?,magazines,A. vegetables,B. market,C. doctor,D. train station,E. bookstore
1251,1251,0,Where would you find many computers in a group of work spaces?,computer,A. office building,B. canteen,C. backpack,D. house,E. box
2668,2668,0,Where would you read magazines while waiting to board winged transportation?,magazines,A. airport,B. bis atation,C. library,D. bed,E. dentist
2135,2135,1,Who can I play with if I know how to play an upright piano?,upright piano,A. college,B. band,C. living room,D. military,E. house
989,989,3,What is something you do  in a bank?,something you,A. make noise,B. have tea,C. make time,D. make payments,E. take time
3931,3931,3,"Though morbid and cold with all the dead bodies, there was something very human about what place?",human,A. conclave,B. playground,C. stadium,D. mortuary,E. school
3313,3313,0,"The convenience was unparalleled, but the traveler was just waiting for the landing at the what?",landing,A. airport,B. restaurant,C. change planes,D. apartment building,E. stairwell
2259,2259,2,"When you get down to the primal basics, flirting causes what?",flirting,A. getting into trouble,B. sparks fly,C. sexual excitement,D. sadness,E. unwanted pregnancy
4271,4271,0,"If a human wants to harm another person, what should he join?",human,A. battle,B. doctor,C. electrical circuit,D. mexico,E. school
271,271,4,"I am looking to buy honey right from an apiary, where should I go?",honey,A. jar,B. stick to fingers,C. beehive,D. stick to fingers,E. farmer's market
4288,4288,0,"Johnny saw a person with torn pants it work.  He thought the person was silly, and he should have done what?",person,A. wear jeans,B. take bus,C. cross street,D. make wine,E. go swimming
4164,4164,0,What delta state is known for bbq?,bbq,A. louisiana,B. grill,C. backyard,D. restaurant,E. ribs
4035,4035,0,WHat is another name for cat?,cat,A. feline,B. lazy,C. hungry,D. thirsty,E. four legs
3482,3482,3,"A man was called a weasel for ""ambulance chasing,"" where did he likely work?",weasel,A. hollow log,B. backyards,C. golf course,D. law office,E. forrest
51,51,0,The person gave a good hands on what to show how to do the work?,person,A. demonstration,B. garage,C. building,D. barn,E. synagogue
1802,1802,0,What magical kingdom is miserable in the rain?,rain,A. disneyland,B. forest,C. weather,D. seattle,E. street
4279,4279,1,"She needed a diaphragm, she went to buy one where?",diaphragm,A. valve,B. drugstore,C. human,D. organ,E. person's chest
3629,3629,0,Where is a fire extinguisher likely to be found behind the seat?,fire extinguisher,A. school bus,B. house,C. garden,D. stairwell,E. garage
4515,4515,1,Where can a human take flight?,human,A. school,B. aircraft,C. band,D. factory,E. car
4023,4023,4,"A child is in a meadow in spring, what might the child do?",child,A. clean room,B. set table,C. play with toys,D. form opinions,E. gather flowers
1865,1865,1,What does a child learn to do in a lake?,child,A. become adult,B. row boat,C. drive,D. go out to play,E. begin school
3233,3233,0,Where would you carry food while on a long walk in the countryside?,food,A. backpack,B. table,C. jar,D. box,E. container
2155,2155,1,"The man was still up at 2:30 am, so he was using the television, what was he hoping he would accomplish?",using television,A. eye strain,B. falling asleep,C. laziness,D. boredom,E. get smarter
