,Unnamed: 0,Unnamed: 0.1,sentence1,sentence2,hyp1,hyp2,label
1257,146387,146387,"On the first day of fifth grade, Andre had a bad feeling.",Andre saw about ten fights his first day in fifth grade.,Children at the school were helping in the halls and on the school grounds.,Children at the school were fighting in the halls and on the school grounds.,1
889,99607,99607,Jay hung out with his friends sister.,It was a fun time.,They spent a lot of time separated.,They spent a lot of time together.,1
2297,134877,134877,The first day of school I walked there with two of my closest friends.,We couldn't believe our luck.,We found a penny.,We found a 200 dollar bill.,1
1278,134881,134881,The first day of school I walked there with two of my closest friends.,We couldn't believe our luck.,We got to school first and were in different classes.,We got to school first and got put in the same class.,1
2582,94961,94961,This summer I had a full-time job at Parrot Cove Boat Rentals.,"Most days at Parrot Cove were busy, but that day was just fun.",I got a free dolphin.,I got a free para sail ride.,1
3278,102489,102489,"My cousin, Mitzi, always kept her shoes on when we were kids.","In the blink of an eye, seven of Mitzi's piggies said their goodbyes.",Mitzi got her feet stuck in a muddy lawn.,Mitzi got her feet stuck in a lawnmower.,1
3074,102497,102497,"My cousin, Mitzi, always kept her shoes on when we were kids.","In the blink of an eye, seven of Mitzi's piggies said their goodbyes.",She has no feet.,Mitzi was in an accident and her feet were ran over by a lawn mower.,1
3028,102490,102490,"My cousin, Mitzi, always kept her shoes on when we were kids.","In the blink of an eye, seven of Mitzi's piggies said their goodbyes.",Mitzi got her feet stuck into her blanket.,Mitzi got her feet stuck in a lawnmower.,1
983,109920,109920,"When I was younger, I went to summer camp.",My time with the minister was very useful.,I avoided the minister all week.,The camp was a church camp.,1
675,101244,101244,Mary's favorite holiday used to be Thanksgiving.,"Ever since, Mary hates Thanksgiving and the bad memories of that day.",Her mom got food poisoning one year.,She got food poisoning on year.,1
61,50752,50752,Me and my family decided to go to Sliding Rock Falls.,The water was cold so I didn't go again but it was a fun experience.,My family was very bored.,My family was very happy.,1
109,157626,157626,"Every Christmas, Clark and Ellen had a party.",The family was happy and it was the best party ever.,This year they threw the worst one yet.,This year they through the most extravagant one yet.,1
624,18349,18349,We went camping this weekend.,My favorite part of camping was sleeping under the stars.,We put down a tent but decided to sleep outside.,we put up a tent but decided to sleep outside.,1
2187,88777,88777,Tina got tickets to see Kanye west in concert.,It was the best day of Tina's life.,Tina had a horrible time at the concert.,Tina had a ton of fun at the concert.,1
1396,25124,25124,My cousin asked me if there was a point in my life that was tough.,"She cried and hugged me, admiring my bravery.",I mentioned about my beautiful history.,Mentioned about my painful history.,1
870,25129,25129,My cousin asked me if there was a point in my life that was tough.,"She cried and hugged me, admiring my bravery.",I told my cousin about a time when a friend won a game.,I told my cousin about a time when a friend died.,1
3286,66787,66787,I had lots of imaginary friends when I was little.,She thinks I have Dissociative Identity Disorder.,My therapist sat and listened to my mom.,My therapist asked me many more questions.,1
4174,53863,53863,I used to like to swim at the beach.,I no longer can swim at the beach but I like to float on the waves.,I still go to the beach every chance I get.,One day the current drug me out to sea and I almost died.,1
4536,76176,76176,Tom's first day at work was at hand as he boarded the bus.,The rest of his first day turned out equally as uneventful.,Tom found a hundred dollar bill on the ground.,Tom forgot everything he forgot his lunch an his money.,1
4191,109595,109595,It was the last day of our vacation.,We want to revisit someday.,We had a flat tire and got stranded.,We had a wonderful time.,1
2850,109598,109598,It was the last day of our vacation.,We want to revisit someday.,We stayed indoors while on our vacation.,We had a wonderful time visiting all the attractions.,1
398,61583,61583,Mario got up out of bed.,It was the best day of his life.,Mario got fired from work.,Mario got a promotion at work.,1
2594,137797,137797,My birthday was yesterday.,It was the best birthday party ever.,My friends ruined the surprise party for me.,My friends threw a surprise party for me.,1
263,70379,70379,When my son was little he had a lot of colds.,We were relieved.,My son kept getting sick.,My son has a lot of colds.,1
2203,44811,44811,Lara really wanted a new puppy.,"When Lara got her puppy, it was the happiest moment.",Lara went to the shelter to adopt a kitten.,Lara went to the shelter to adopt one.,1
4173,107113,107113,We went to the carnival every year when I was younger.,My fish always died within a few days.,I never brought home a goldfish.,I always brought home goldfish.,1
2049,107122,107122,We went to the carnival every year when I was younger.,My fish always died within a few days.,We buy fish sandwiches at the carnival.,We buy fishes at the carnival.,1
2989,159780,159780,I went to the playground when I was young.,I had to get a bright green cast.,I didnt try to do the monkey bars by myself.,I tried to do the monkey bars by myself.,1
