,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,sent1,sent2,ending0,ending1,ending2,label
0,1086,1086,1086,1086,Jesse found the house in the woods after month of trying to locate the house.,What will Jesse want to do next?,search the woods,buy a new house,take pictures of the house,2
1,1146,1146,1146,1146,Ash was cooking dinner for their best friend so Ash spent extra time on making it delicious.,How would you describe Ash?,interested in their friend's opinion,proud of their cooking,a good friend,2
2,1851,1851,1851,1851,according to the article Cameron saw Casey this morning.,What will Cameron want to do next?,say hello,give a hug,be friendly,0
3,2138,2138,2138,2138,Carson led Jan to start exercising and eating better and it led Jan's life to be better.,What will happen to Carson?,be in better shape,start preparing the daily affirmations,begin jogging with Jan every day,2
4,215,215,215,215,"Alex lived nearby in Casey's area, away from the gated community.",What will happen to Casey?,be visited by Casey in the slums,see the gated community from afar,understand Alex,1
5,4836,4836,4836,4836,Carson was trying to be quiet in the quiet room but accidently made a noise.,What does Carson need to do before this?,cough in his hands,Remove their socks,Walk quieter,2
6,4931,4931,4931,4931,Sasha told Quinn to meet up with them at the mall after school.,How would you describe Sasha?,As someone who saw their friend while walking in the mall,As someone that shopped at the mall,hang out with their friend,1
7,2542,2542,2542,2542,Austin had eyes bigger than his stomach. Austin mom always has been worried about Austin eyes. She told him need to see a professional.,What will Others want to do next?,make an appointment,check his eyes,research doctors,1
8,468,468,468,468,Quinn planned to move his furniture but needed Alex's help to complete the task.,What will happen to Quinn?,come over to help,asks if Alex can help,sweat from lifting furniture,1
9,1879,1879,1879,1879,Remy found an appropriate place in the right location.,What does Remy need to do before this?,Redecorate the place,Search real estate listings,organise the next event,1
10,2894,2894,2894,2894,"Seeing that he was very sick and not himself, Jan took her cat to the veterinarian.",What will Jan want to do next?,get a new cat,Put her cat in a carrier,get a diagnosis,2
11,1642,1642,1642,1642,Jordan was quick and prevented Kendall from falling down when she tripped.,What will happen to Kendall?,serve Jordan,be more careful,be loved,1
12,3544,3544,3544,3544,Robin saw a broadway show and enjoyed it very much.,What does Robin need to do before this?,buy tickets to see it again,post about it on social media,go to the show before this,2
13,4730,4730,4730,4730,Remy reached the Earth's equator after several days at sea.,What does Remy need to do before this?,take a boat south,take photos,post on social media,0
14,3879,3879,3879,3879,"Jan opened a store, but no one ever came, and it quickly closed down.",What will Jan want to do next?,closed the store due to lack of customers,closed the store because business was very slow,try a different store,2
15,3746,3746,3746,3746,Ash gave worry to problems about the growing problem of not getting enough to eat.,What will Ash want to do next?,let her mom know that she needed more to eat,smart,tell her mom that she needed more money for lunch because she was hungry,0
16,924,924,924,924,Quinn visited their doctor to get blood work done to make sure she didn't have cancer.,What will Quinn want to do after?,hear good news,live at the doctor,check for cancer,0
17,3849,3849,3849,3849,Ash painted Jordan's picture for a portrait at the school.,What will Jordan want to do next?,publish the picture,paint over the picture,show his family,0
18,721,721,721,721,Jesse wanted to make some money and decided to shovel snow out of the driveway which Jesse's parents would pay for.,How would Jesse feel afterwards?,cold,relieved to not have to shovel themselves,happy to provide some work,0
19,4353,4353,4353,4353,"After getting a good night's rest, Cameron felt like a normal person and wanted to eat his favorite food, pasta.",How would you describe Cameron?,liked to eat pasta at night,Cameron's favorite food was pasta,satisfied,2
20,1648,1648,1648,1648,Ash knocked the ball out of the park when they hit it yesterday.,How would you describe Ash?,when they hit it yesterday,when they hit it yesterday,a strong person,2
21,1961,1961,1961,1961,Lee tore open the cover. He could hardly wait to see what he had gotten in the mail.,What does Lee need to do before this?,See who it was from,Wait impatiently,Sit down,1
22,2584,2584,2584,2584,"Aubrey sat in the corner, tied to one of the chairs with duct tape. Remy asked Kendall to join Aubrey in the other chair.",What will happen to Kendall?,run from the room before they catch them,get caught by police,be tied to the duct with electrical tape as well,2
23,2635,2635,2635,2635,Jordan found Jan's slick backpack underneath her bed late at night.,What will Jan want to do next?,yell at Jordan for looking through her stuff,again,say thank you,2
24,3025,3025,3025,3025,Quinn decided not to go because he did not want to get into trouble.,How would you describe Quinn?,safe,reckless,cautious,2
25,942,942,942,942,"Jordan eventually started to regret his words, so Jordan told Addison they had said something cruel.",What will happen to Jordan?,want to be more cruel,want to apologize for their words,better getting things off their desk,1
26,612,612,612,612,Cameron's mother had been up late the night before. Cameron took the subway to school.,Why did Cameron do this?,wanted to avoid inconveniencing their mother,get a ticket,find the station,0
