,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,sent1,sent2,ending0,ending1,ending2,label
0,1546,1546,1546,1546,Casey filled Sydney's heart with jealousy after he started dating someone.,What will happen to Sydney?,become friends,be happy with a new love,hate each other,2
1,3292,3292,3292,3292,Addison let Casey win because Casey always complained when Addison won and beat her.,What does Addison need to do before this?,play badly so Casey would win,play their best to beat Casey,cheer,0
2,448,448,448,448,Austin had a snowball fight with his family on the first day of snow.,How would his family feel as a result?,happy it's winter,longing for summer,scared of snowballs,0
3,268,268,268,268,Addison put Kendall's  cost-cutting ideas into action.,What will happen to Addison?,kendall will be thanked,get promoted,lose their job,1
4,2084,2084,2084,2084,Skylar was offered a high paying position in her field of expertise. She quit her old job.,How would Skylar feel afterwards?,excited to begin her dream job,angry about the new position,happy to keep her old job,0
5,2195,2195,2195,2195,skylar was sick so she took a vacation and spent the next week at home.,How would Others feel as a result?,upset,angry,relaxed,0
6,2455,2455,2455,2455,Kendall also said the secret to the group of people that were listening.,How would you describe Kendall?,proud to of shared a secret,mean,helpful,1
7,1472,1472,1472,1472,"Tracy was not very good at playing poker, so Tracy tipped his hand.",What will Tracy want to do next?,decide their new strategy,fold,challenge the winner,1
8,2903,2903,2903,2903,Cameron would make fun of Austin often because Austin always fell down while walking.,What will Austin want to do next?,say they were sorry,work on walking,apologize to them,1
9,3698,3698,3698,3698,kai was a persistent person who did not give up easily so he finally made headway.,What will Kai want to do next?,achieve an accomplishment,keep working,stop making headway,1
10,3008,3008,3008,3008,quinn wanted to punish jesse so she took away his video games.,What will Jesse want to do next?,harass quinn,beg quinn to give him back his video games,hide them,1
11,4398,4398,4398,4398,A man asked Jordan if he could give him any money.,What will Jordan want to do next?,unlock his doors,ignore the person,didn't do anything,1
12,4541,4541,4541,4541,Remy sold Carson's jacket at a reasonable price after buying it for a low price.,What will happen to Carson?,be wealthy,be happy,be annoyed,1
13,4543,4543,4543,4543,Taylor impressed upon Casey the rules of the game so he would know them.,What will Others want to do next?,follow the rules,break the rules,learn the rules of the game,0
14,3644,3644,3644,3644,Lee fell asleep in the car while his friend was driving.,How would you describe Lee?,sleepy,awake,funny,0
15,3286,3286,3286,3286,bailey made sasha's coffee but put poison in it to get rid of sasha.,What will happen to Sasha?,be dead,get arrested,be healthy,0
16,1906,1906,1906,1906,Ash played some tricks on the people that were living with him.,How would Others feel as a result?,played as fools,sorry for the people,ashamed about the pranks,0
17,124,124,124,124,Jesse saw her friend Ash's boyfriend behind Ash's back for several months.,How would you describe Jesse?,a caring person,ignorant of boundaries,cheated,1
18,2997,2997,2997,2997,Addison and Jesse put an end to Riley once and for all.,What will Jesse want to do next?,run away,consult with Jesse on what to do next,help Jesse cover their tracks,0
19,3597,3597,3597,3597,Robin brought Remy to trial once the evidence had all been gathered.,Why did Robin do this?,gather the evidence,punish Remy,be a good friend to Remy,1
20,3375,3375,3375,3375,jordan brought the food to sasha at the end of the line because they felt bad for sasha.,How would Sasha feel as a result?,sad about the gesture,annoyed by jordan,grateful towards jordan,2
21,1517,1517,1517,1517,Remy rehearsed Quinn's lines. Then she told Quinn that he didn't get the part.,How would Quinn feel as a result?,not happy,somewhat clever,somewhat incompetent,0
