,Unnamed: 0,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
108,9845,lsmdc3034_IDES_OF_MARCH-3066,17584,"She glances at traffic on the road beside her, and then approaches a cafe. Later, she","She glances at traffic on the road beside her, and then approaches a cafe.","Later, she",gen,faces a hanger with her open gun and working at a mirror.,"enters his office, checking over a drink of liquor.",aims her laptop straight as the truck drives up the highway.,stubs out a cigarette.,3
786,66887,anetv_PgfUSPHXluA,5565,A blonde woman wearing grey shirt is arm wrestling with another woman on a room. the winner woman,A blonde woman wearing grey shirt is arm wrestling with another woman on a room.,the winner woman,gold,on the right is moving stationary towards the man in the background.,is ina black and white broth stand.,is making poses laying on the floor.,approaches a worktop and steps hopscotch.,2
398,68803,lsmdc0038_Psycho-67290,5869,"We see him pause at the foot of the stairway, look up at the bedroom door just at the head of the stair. He by - passes the stairs and","We see him pause at the foot of the stairway, look up at the bedroom door just at the head of the stair.",He by - passes the stairs and,gen,looks into the deserted corner.,step quickly to work out the inside.,crosses to the desk.,is about to enter his apartment with all the pints of the patients.,2
503,37466,lsmdc0030_The_Hustler-65076,1810,Someone goes to the bar. Someone,Someone goes to the bar.,Someone,gen,spins around a table.,grips the bar and makes him look at someone.,"is talking to someone at the laptop, being led by a staff.",springs off his seat and leans in to play it.,1
900,51883,lsmdc3019_COLOMBIANA-9012,13075,Someone hangs up then glances outside at his friend. He,Someone hangs up then glances outside at his friend.,He,gold,watches his alien hand from a decanter.,"passes someone's window, and moves back to someone.",sets the cellphone back on the table.,"gazes after her, then turns and follows her out.",2
29,25137,lsmdc1031_Quantum_of_Solace-84164,15860,Their pursuer tries to work out where they've gone. She,Their pursuer tries to work out where they've gone.,She,gen,pulls out a stone from a shed.,looks towards a nearby trunk.,swerves through a brief explosion of water.,pulls the van down to the ground.,1
278,9443,lsmdc3091_ZOMBIELAND-44917,18521,He twirls his guns then kisses one. He,He twirls his guns then kisses one.,He,gold,slows as he reaches the tower and stares up at the sisters.,"hands him a bin, an earpiece and calling attacks.",catches someone's trunk and shoves it through the air.,holds one ball at his chest and takes it out.,0
741,63190,anetv_Pl4zAGveukQ,1853,A woman with long hair speaks to the camera. She,A woman with long hair speaks to the camera.,She,gold,pulls her hair out of the bathtub.,holds up a long brush.,fluff her hair with the pair of clippers.,holds on to a surfing wave above the water.,1
858,6646,anetv_Rc_pWU_3WLk,2988,One knocks the other one out. The winner,One knocks the other one out.,The winner,gold,stands tall on the arena.,breaks and kicks off one of the blue pucks.,holds the bat up.,kicks people from hiding and cheerleader bodies.,0
93,43610,anetv_xUDwlT5fw_o,5680,"When the man is finished shaking the drink he removes the cup from the shaker, pours the liquids into a smaller cup, and sticks a white straw in it. All while talking the man","When the man is finished shaking the drink he removes the cup from the shaker, pours the liquids into a smaller cup, and sticks a white straw in it.",All while talking the man,gold,"then picks up the cup, smells it, smiles and holds the drink up.",sets a glass in the back of the counter and then he continues to stir it.,stops and looks at the camera.,puts the cigarette up on the tip and goes to the cigar and holds it to his mouth.,0
