,Unnamed: 0,Unnamed: 0.1,sentence1,sentence2,hyp1,hyp2,label
65,122654,122654,My son was chosen to referee soccer games played by young children.,He decided he never wanted to referee again.,The parents all got interested in him.,The parents all got mad at him.,1
3437,93402,93402,Tim invited John over to his house.,Tim went back to room and saw no disc in his video game system.,John was married to a kleptomaniac.,John was a kleptomaniac.,1
4711,143994,143994,I always try to go to bed on time.,The television show had hooked me in.,I stayed up to read a book.,I stayed up late watching television.,1
4407,57794,57794,Greg always wanted his own dog.,Eventually Greg and his dog became very close.,Greg adopted a dog from a local shelter.,Greg adopted a cat from a local shelter.,0
2572,147980,147980,Matt was out for a walk with his mom.,Matt was frustrated about what he found.,Matt found a coin and it was worth thousands!.,Matt found a coin but it was a Canadian coin.,1
3706,77242,77242,I got to see my favorite band in concert last January.,I'll definitely go back and see them again if they return to my city.,I really enjoyed watching my favorite band.,I was disappointed in their performance.,0
1757,126604,126604,Sandy recently had to make a change with her cleaning company.,Sandy was pleased when they obliged her request.,Sandy called them and made her request.,Sandy forgot to call them and make her request.,0
3620,128167,128167,Burt always wanted to travel to London.,Burt ended up not going to London.,Burt recently lost his arms.,Burt recently lost his job.,1
1945,151800,151800,I woke up happy and excited.,I married my fiance in front of my family.,I was happy because it was my wedding day.,I was happy because it was my graduation day.,0
67,56509,56509,Bill was at his desk working when his phone rang.,"As the door clicked shut, he realized he did not have his own keys.",Bill needed something from the supply closet.,Bill wanted to spy something from the boss' supply closet.,0
18,101681,101681,Gina had to secretly put her mom's house key back in her purse.,"She put the key back on the chain, and ran downstairs to her room.",Gina tiptoed quietly into her mom's bedroom.,Gina tripped into her mom's bedroom making a bang!.,0
1842,55139,55139,Beth is polish just like her entire family.,She now loves cheeseburgers and can't wait to try more American foods.,Beth decided never to try other types of food out there.,Beth decided to try other types of foods out there.,1
669,129930,129930,Bob played Bill at a game of checkers.,"And bill won that game, the last game of checkers he ever played.",Bill finished to get bored while playing the game.,Bill began to get bored while playing the game.,1
20,102527,102527,Bailey needed a haircut.,She made a plan to come back in three months for another haircut.,Bailey found a horrible barber.,Bailey found a good barber.,1
2138,88727,88727,I bought a bag of jellybeans for Easter.,"Later, my husband admitted to eating the jellybeans.",All of the jellybeans were left over.,I couldn't find the bag.,1
430,162038,162038,I wanted to buy a music player for my brother.,I was able to get him a present that I could afford.,I took a part-time job and earned more money.,I couldn't find a part-time job to earn more money.,0
1300,28939,28939,Jane was running on top of the building.,"Later that day, she was taken to the ambulance.",Jane fell off the building.,Jane made it to the top and then ran back home.,0
2963,126136,126136,Mike and Ann bought a new bed for their son.,It was the best purchase they had made in awhile.,He was a toddler and had outgrown his crib.,He was a toddler and had not yet outgrown his crib.,0
1269,88912,88912,In college my friends and I were a little crazy.,We threw three pumpkins and they broke all over the pavement.,We took three pumpkins which was sold at the road side.,We took three pumpkins which was sold at the non-line side.,0
1903,21305,21305,My buddy had a cool Jeep Wrangler.,I was always jealous of that Jeep.,I wanted to own a cool Jeep like my buddy but I could not afford it.,I wanted to own a cool Audi like my buddy but I could not afford it.,0
691,167085,167085,Terry was an avid motorcycle rider.,Terry promptly bought new tires for his motorcycle.,Terry blew a tire.,Terry blew his nose.,0
2104,126262,126262,Trey went to the store to buy ingredients for a soup.,He heated up the pot of food until it was hot enough to eat.,Trey forgot all the ingredients at home and prepared them.,Trey brought all ingredients home and prepared them.,1
4160,169285,169285,Erin loved to sleep with candles.,Both Erin and the cat got out safely.,Erin's draperies caught fire from a candle flame.,"Erin's cat caught fire from a candle flame."".",0
778,111576,111576,Yesterday I got into the building elevator.,Thankfully I was out quickly.,It got stuck in the 5th dimension.,It got stuck on the way down.,1
4343,54949,54949,Mike kept a very messy car.,He was relieved and embarrassed when he found it under all his mess.,Mike couldn't find his credit card.,Mike kept his credit card in a wallet.,0
1417,168448,168448,Conrad wants to make rice to eat at home.,Conrad decides to only make rice again if he has a rice cooker.,Conrad burns the road.,Conrad burns the rice.,1
53,118327,118327,John and his pals made fun of the cafeteria ladies.,John was aghast when his mom showed her cafeteria lady uniform.,John's mom tells him she got a new job today.,John tells his mom he got a new job today.,0
4337,12145,12145,Josiah was a baby who was trying to crawl for the first time.,Josiah rolled over and played with his feet.,Josiah had plenty of strength to move.,Josiah didn't have the strength to move.,1
917,60477,60477,A group of us traveled to Portugal one summer.,"From what I gathered, I had all of the pig's organs on my plate.",We went to a restaurant with fake food for the area.,We went to a restaurant with authentic food for the area.,1
3760,4408,4408,Jane rode her bike to Walmart.,Jane was wanted by the police for her antics.,Jane rode it home.,Jane decided to try and steal and rise away.,1
2080,5208,5208,Sal liked magic.,And thus Sal gave up on magic.,Magic was too hard for Sal to perform.,Magic was very easy for Sal to perform.,0
3180,164456,164456,"When Tiffany was 17, she got a job at a nursing home.","Four Years later, Tiffany graduated and loved her job as a nurse.",Tiffany decided she hated nursing and dealing with patients.,Working in the nursing home inspired Tiffany to pursue nursing.,1
1256,129687,129687,John met Susan at a yoga class.,John packed a basket of food and they had a great date.,Susan asked John out on a date.,Susan never asked John out on a date.,0
4145,164346,164346,We decided to commit to reading more.,We are now excited to read more of these books.,We bought the full set of Harry Potter books.,We bought the full set of Harry Potter DVDs.,0
1492,85778,85778,Dan was teaching his daughter to check her oil in her car.,Dan laughed as oil splashed all over her face and clothes.,Dan's daughter didn't want to follow instructions.,Dan's daughter didn't have any oil so she left to go buy some.,0
224,95044,95044,The bully at school punched me.,My parents sued the nurse and won the case.,When I went to the nurse she didn't do anything even though my parent's nose was broken.,When I went to the nurse she didn't do anything even though my nose was broken.,1
3545,26776,26776,Jen is getting ready to sit down for dinner when the phone rings.,Luckily they are able to get Jill's sister to substitute for her.,The call was for Jill to go to work.,The call was for Jill to stay home from work.,0
4562,161357,161357,Catherine has always been intrigued by the sport of Curling.,Catherine thought curling looked boring.,Catherine watched it for the first time on the Olympics.,Catherine was engrossed in watching it for the first time on the Olympics.,0
1535,26205,26205,The Baker children went running in the woods.,Elizabeth was stung hundreds of times.,"Elizabeth was worried, the children were far away from a bee hive.","Elizabeth was worried, the children were by a bee hive.",1
308,99271,99271,Lance had an appointment in town.,"Then, he decided to ride the bike to the appointment.",the traffic is bad during the day.,The traffic is good during the day.,0
3547,8662,8662,Jenny went to her first day in middle school.,Jenny is excited to come tomorrow to spend more time with her teacher.,Jenny liked her new teacher.,Jenny hated her mean new teacher.,0
2707,75032,75032,I ordered a new set of acne medication.,"Many people noticed by red, flaky face.",I tried it out but it dried my face out really bad.,I tried it out and it didn't dry my face out at all.,0
4307,123556,123556,I work at a transit authority.,"I did not hang my certificate up, as the class was terrible.",I had to take a mandatory class to get a certificate.,I didn't take the mandatory class to get a certificate.,0
3509,73642,73642,John and Amy were playing tag with some friends.,Now it was time for Amy to chase everyone!,John tagged Amy and she was it.,Amy tagged John and he was it.,0
1995,119314,119314,Susan was excited to plan her first egg hunt in the South.,Susan saw that all the candy inside had melted in the sun.,Susan found lots of plastic eggs with candy inside.,Susan found no plastic eggs with candy inside.,0
4289,111672,111672,My teammate and I were in the woods surveying some trees.,"We were sad, but happy to be helping the environment.",We found evidence of a tree virus.,We found evidence of beavers.,0
0,121277,121277,Juanita woke up early for a canoe ride on the lake.,Juanita climbed back into the boat.,Juanita canoed without any trouble.,Juanita's canoe tipped over and she fell in the river.,1
270,137649,137649,Tim was walking home.,He never danced in the rain again.,"He started dancing, but someone posted a video and made fun of him.","He stopped dancing, but someone posted a video and made fun of him.",0
1041,156237,156237,Joni rode in a helicopter today.,Joni had never seen such a beautiful view before.,Joni was not sure what to expect from her ride.,Joni knew exactly what to expect from her ride.,0
77,138479,138479,Tony was excited to have gotten a camera for Christmas.,Tony was very proud of his masterpiece.,Tony took the ultimate picture.,Tony took the beginning picture.,0
2230,60459,60459,Tom loved music.,He smiled as he enjoyed the music.,Tom turned on his favorite song.,Tom turned on his most hated song.,0
847,70468,70468,I decided to go to the beach today.,"After staying for 2 hours, I drove home.",I laid on the charm and closed the deal.,I laid on the sand and closed my eyes.,1
1885,14651,14651,Elizabeth was baking chocolate chip cookies with her mother.,Her mother thought they were delicious and was not angry!,Elizabeth thought that she had not messed up.,Elizabeth thought that she had done great.,0
3782,32907,32907,Nell couldn't resist the candy counter in her dad's store.,"In the bin, he found the mix was reduced to a couple types of candy.",Nell tried to not eat her favorites out of a bin.,Nell ate her favorites out of a bin.,1
513,15296,15296,"My daughter, who works for NYU's business school, told me about mTurk.",Now I do mTurk all day.,I ended up making some good money.,I ended up making my bed.,0
3975,91569,91569,Ned wanted to learn to play basketball.,Ned's skills improved as he practiced.,Ned worked poorly.,Ned worked hard to get better.,1
2520,16363,16363,Amber was still tired when she woke up,she ended up being over ten minutes late,Amber decided to sleep for five more seconds.,Amber decided to sleep for a few more minutes.,1
4709,86260,86260,Jane's daughter sue came to her with a nose bleed.,20 minutes later the nosebleed stopped and Jane had a mess to clean.,Jane held towels to Sue's nose to stop the bleeding.,Jane held towels to Sue's nose to start the bleeding.,0
4233,77997,77997,Kate and Bailey wanted a puppy.,Kate and Bailey took the little pup home with them.,Kate and Bailey couldn't find one at the shelter.,Kate and Bailey went to the shelter.,1
2342,45617,45617,Tom left his house to go to work.,Tom arrived at work 15 minutes late.,Tom had light traffic on his way to work.,tom got stuck in traffic on the way to work.,1
878,86423,86423,John loved running cross country.,John was so upset that he couldn't enjoy either hobby.,He found that it ate into his painting time.,John would later find time to paint.,0
2745,81764,81764,I had always wanted to visit Australia.,I thoroughly enjoyed my trip.,I didnt go with family to Australia.,I went with family to Australia.,1
3095,17276,17276,Brandon woke up this morning with his tooth missing.,Brandon checked the next day and found 50 cents under his pillow.,Bandon's found it and put it under his pillow.,Brandon never found it and couldn't place it under his pillow.,0
1470,99174,99174,John was a football player.,"However, John became a much better football player.",John thought he would never get better through practice.,John never got better through practice.,0
4195,105100,105100,Today was Allison's eighth birthday.,"When she opened it, she found out it was a new bicycle!",There was one big gift for her to open.,There was one microscopic gift for her to open.,0
1669,68950,68950,Ginny and Todd were looking up at the clouds.,Before they knew it the sun was going down.,They spent hours looking at all the shapes that they made.,They spent a few seconds looking at all the shapes they made.,0
2364,59151,59151,Phil wanted to be an actor.,He invited Phil to try out for the lead role!,Phil's uncle was making dinner.,Phil's uncle was making a movie.,1
4465,119195,119195,Polly had just gotten out of the pool.,She hoped it would come back for more later.,She saw a butterfly fluttering away from her.,She saw a butterfly fluttering right at her.,0
1703,107743,107743,I read that the Boston MFA acquired a Frida Kahlo painting.,We intend to go see the painting soon.,I told a friend but he didn't care.,I told my friend about it and he was excited.,1
4460,123203,123203,It was Martha's dream to become a doctor.,Her parents were really proud of her accomplishments.,Martha completed here doctorates and has opened a practice.,Martha failed here doctorates and hasn't opened a practice.,0
2806,1714,1714,My friends and I went to the A&P grocery store during a big sale.,Now I have a large A&P sign in my living room.,The store was giving away turkeys.,The store was giving away signs.,1
3536,165343,165343,Erica was excited to graduate high school.,She graduated valedictorian of her class.,Erica worked hard all through school and made good grades.,Erica stopped caring through school to make good grades.,0
3156,163059,163059,I always hunt for the best deals.,"I have no car to drive to make the deal, so it has to be close.","I find some deals that are close to my house, and other deals that are further away.","I find all the deals that are close to my house, and no deals that are further away.",0
4470,144501,144501,I played an April Fools joke on my friend in 1996.,"She came running down to tell us, only to find I tricked her.",She played the same joke on me 20 years later.,I then played the same joke 20 years later.,1
3964,151725,151725,Lucy loved writing poems.,The poem made Lucy's mom feel better.,Lucy wrote a poem and dedicated it to her mom.,Lucy wrote a poem about spiders.,0
1875,128509,128509,My dog was in the backyard.,"From then on, my dog began to kill snakes for bones.",A snake caught my dog and had fun playing with it.,My dog caught a snake and had fun playing with it.,1
4043,120256,120256,David asked his mother if he could pour his own drink.,David promised to be more careful in the future.,David then spilled his drink all over the floor.,David poured the drink carefully.,0
2687,6629,6629,Mae didn't have enough money to buy her baby a birthday gift.,Mae was touched by her kindness.,Mae's cousin gave her some pennies so she could buy a gift.,Mae's cousin gave her some money so she could buy a gift.,1
3275,76002,76002,Tim was going to build a ladder to the moon.,He finally gave up and watch the moon with a telescope.,He soon realized that the moon was too far away.,He soon realized that the moon was not made of cheese.,0
4475,109745,109745,Roger was 80 years old.,They all had a blast.,People took roger out to party.,People took roger out to chore.,0
2986,113050,113050,Moe flew a kite on a windy day.,He had to climb the tree to get it down.,The kite got stuck in a tree.,The kite got stuck in a three foot tree.,0
3635,96565,96565,Judy rushed through the market.,She realized the package was 2 months old.,She bought some food and didn't look at the expiration date.,She bought some food and didn't look at the price.,0
4283,155024,155024,Megan saw a poster for an upcoming play.,The director gave her the part right on the spot.,Megan wanted to try out for the play but didn't.,Megan wanted to try out for the play and did.,1
3400,154705,154705,My cousin came by my house today.,"However, during a test, he instantly forgot what I've said.",he swept the floor.,I gave him the instructions on the alarm because he would be housesitting for me in a week.,1
4829,146062,146062,Luke came running down the stairs as fast as he could.,Star Trek was on TV and mom had made popcorn!,Luke was running to watch his favourite reality show.,he was running to watch his favourite tv show.,1
3264,153278,153278,Mina wanted a cat.,Mina loved her new kitty!,Mina went to the shelter to adopt a cat.,Mina went to the shelter to adopt a puppy.,0
2033,33492,33492,The ship was beginning to lose its course.,After many weeks the coast guard found the stranded ship.,Every one took the cars and saved themselves.,every one took the boats and saved themselves.,1
4789,59769,59769,John was a great basketball player.,John decided to go to Duke to play basketball.,John broke the high school scoring record.,John broke the high school fouling record.,0
4258,108242,108242,Amy was upset she lost her new watch.,The next day Amy apologized and gave the girl she accused a cookie.,Amy thought a little girl stole it.,Amy thought the little girl wore it.,0
1915,82227,82227,Ken was sad.,Ken was reassured by his mother that he would always be loved.,"Ken lost his girlfriend,.",Ken lost his favorite pen.,0
