,Unnamed: 0,Unnamed: 0.1,sentence1,sentence2,hyp1,hyp2,label
1939,15981,15981,I decided to go on a bike ride with my brother.,I felt very badly for my brother.,My brother crashed on soft grass and wasn't hurt.,My brother crashed and hurt his leg really bad.,1
3281,134029,134029,Jo was selected to appear on a TV game show.,"Jo was upset she lost, but the experience was very fun and memorable.","Jo, was excited and hoped she would lose.","Jo, was excited and hoped she would win.",1
2169,18084,18084,Every time it rains the yard gets muddy along the fence.,"After putting the stones down, I'm ready for the rain!",I put stones down around the fence to redirect the train.,I put stones down around the fence to redirect the rain.,1
2041,153457,153457,I wanted to sell my car so I began to clean it as much as possible.,The insurance money was enough to buy a brand new car.,"However, I ended up selling the car.","However, I ended up wrecking the car.",1
1860,133967,133967,Sara wanted her kids to have a great Christmas.,All of the presents were wrapped and stored for the holidays.,Sara bought them all the presents they requested from the Easter Bunny.,Sara bought them all the presents they requested from Santa.,1
1530,127081,127081,Rufus has always wanted to try to skateboard.,Rufus was so happy to finally be riding a skateboard.,Rufus bought a snowboard and went to the park.,Rufus bought a skateboard and went to the park.,1
3732,31738,31738,Last summer my family went to a water park resort in April.,It was the worst time to catch a stomach bug.,Everyone in my family caught a stomach non-bacillus.,Everyone in my family caught a stomach bug.,1
4267,64749,64749,Steve was excited about learning how to drive.,"Before long, he was happy solo driver.",Steve never drove.,Steve practiced driving with his mom.,1
3121,51641,51641,I was at bat and had two strikes.,It turned into a home run and my team won the game.,Strike lost the game.,Home run won the game.,1
4517,157856,157856,I went to my backyard to ride on the swings.,My mom decided to clean the sting with some alcohol.,When I was swinging I bit a bee.,When i was swinging a bee came and bit me.,1
2903,130259,130259,My family took our dog to a humane society fundraising picnic.,"Finally, after my dog stole the third hot dog, we gave up on lunch.",My family were too embarrassed to buy any food.,My family all got hot dogs.,1
325,106273,106273,"When Jay found out her older sister was pregnant, she was nervous.",Jay immediately knew her fears were unfounded.,Her sister thought the baby might not be noticed.,Her sister thought that the baby might be ugly when it comes out.,1
1615,153165,153165,Mark loved to gamble and play cards.,"Nowadays, Mark warns people about the dangers of gambling.",Mark became a poker player.,Mark lost his family due to gambling problems.,1
1571,46669,46669,Rich got new carpet in his basement.,He was disappointed in himself.,Rich stained his new carpet with rice the first day.,Rich stained his new carpet with fine the first day.,1
688,81925,81925,Johnson has always wanted to drive from San Francisco to Los Angeles.,"Arriving in Los Angeles, Johnson is very happy that he took the trip.",He refused to make the long drive.,Johnson finally made a plan and took off happily.,1
3222,69620,69620,I wanted to learn a blue collar trade.,I had to drop out of the apprenticeship.,I studied hard but just couldn't pick up on guitar.,I studied hard but just couldn't pick up on it.,1
4459,50041,50041,James liked to buy scratch tickets on payday for fun.,He ended up broke and miserable.,James didn't buy any scratch tickets on his last payday.,James spent all of his money.,1
4833,10572,10572,"When I was little, I had a book.",I secretly would go to the closet to read the book when she was out.,My mom liked me reading that book.,My mom didn't like me reading that book.,1
4845,138743,138743,"Some girls, like Linda, only go on the internet to post pictures.","Now everyone is sick of Linda on the internet, and she is sad.","Linda stopped posting on Facebook, Instagram, Twitter, and Snapchat.","Linda began posting on Facebook, Instagram, Twitter, and Snapchat.",1
4315,101190,101190,The Jackson's decided to go to the city for a day of shopping.,The Jackson's were happy that they went to the city today.,The Jacksons found so many abandoned buildings.,The jackson's found so many great deals.,1
1969,8815,8815,I was at a folk festival.,I took it home and learned to play it.,I decided against buying a ukulele.,I decided to buy a ukulele.,1
4529,165089,165089,I wrote an ebook that needed a cover.,Most people liked Cover A.,I put out a poll on twitter asking my followers to not follow me.,I put out a poll on twitter asking my followers which cover I should use.,1
162,78809,78809,Eli predicted the stock market trends on a lark.,Eli's friends were angry when they lost money on their purchases.,Eli got his friends to purchase bitcoin.,Eli got his friends to purchase stock.,1
1420,101405,101405,I like to drink craft beers.,My drink was good but so strong I had only half.,I tried to give up craft beer for my health.,I triesd a new craft beer today.,1
922,165503,165503,Sam's parents were out for the weekend.,Sam was in real trouble.,Sam cleaned up the house.,Sam threw a party at their house.,1
2203,44811,44811,Lara really wanted a new puppy.,"When Lara got her puppy, it was the happiest moment.",Lara went to the shelter to adopt a kitten.,Lara went to the shelter to adopt one.,1
4381,18898,18898,Brittany was a horrible girl who always told lies.,This made her teacher very mad and she gave Brittany detention for it.,Brittany told a heartwarming story about another student.,Brittany told a bad story about another student.,1
4292,164763,164763,Johnny wanted a change from his big city life in Boston.,Johnny was happy to be in a small town.,John decided to move to a bigger city.,Johnny decided to move to a smaller city.,1
4743,27400,27400,Jimmy loves pizza.,He is very satisfied with his pizza.,Jimmy got a large pasta order.,Jimmy got a large pepperoni pizza.,1
3251,23495,23495,Erica hadn't seen her little sister in Years.,Erica paid their bill after their meeting.,They went out shopping at a trendy mall.,They went out for drinks at a trendy bar.,1
2577,92085,92085,"When John asked Betty to go to a concert, she was excited.","At the end of the concert, Betty had a better appreciation for Bach.",Bach  performance was terrible.,Bach put on a wonderful performance.,1
2846,148051,148051,Jordyn and Jackie are best friends.,Their children are now best friends.,Jordyn and Jackie had pets three months apart.,Jordyn and Jackie had children three months apart.,1
4972,144434,144434,We were heading home from the Zoo.,He wanted to treat us for being great customers.,We stopped for hot dogs from a new vendor.,We stopped for hot dogs from our favorite vendor.,1
2899,32466,32466,Jan was horrified to find a pimple the day before prom.,Jan left prom before any pictures were taken.,Jan used medicine to get rid of it.,The pim exploded during the dance.,1
3053,102115,102115,David watched someone do tricks on a skateboard.,David learned that things he imagined weren't always true.,David watched the person make more tricks than they did mistakes.,David watched the person make more mistakes then he saw them land the tricks.,1
3933,49008,49008,My sister in law is a hoarder.,We had to give it back.,She collect all kinds of trash in her sight.,She collects all kinds of prints in her sight.,1
4025,138300,138300,Tom was tired of everyday life.,Eventually Tom went back on the grid.,Tom saved a lot of money to pay for bills.,Tom needed money to pay for bills.,1
3407,19504,19504,Stephen was worried that he couldn't get home to see his family.,"Though it took a little longer, he could go see his family on the bus.","Stephen had to take a flight instead of driving his own car,.",Stephen had to take a bus instead of driving his own car.,1
3024,90911,90911,I was hungry while staying up late.,I returned to my movie with the snacks.,I rolled over and went to sleep.,I got up and raided the fridge.,1
888,12804,12804,Sam was riding the bus one day.,She got off the bus as quickly as possible.,sam saw a million dollars on a seat.,Sam saw a man with a gun.,1
849,124240,124240,The best friends always take a girls trips.,They always have a great time catching up.,The best friends separated. from each other.,The best friends went on a trip together.,1
450,69433,69433,Adam wanted to eat a frozen burrito for lunch.,"A few hours after eating the burrito, he began to feel sick.",Adam bought but didn't eat one from the gas station.,Adam bought and ate one from the gas station.,1
4571,40037,40037,Gina and her sister were watching music videos.,She stayed where she was and continued watching videos.,Gina got up to get a drink.,Her sister got up to get a drink.,1
1469,124627,124627,Ryan loved to customize his bike.,Ryan decided not to ride his bike anymore.,Ryan crashed his snowboard.,Ryan crashed his bike.,1
2931,154590,154590,Kelly decided to get some chocolate ice cream.,She then proceeded to pick it up.,Kelly forgot to phone in her order.,She phoned in her order.,1
784,159085,159085,"He picked up the pencil, haltingly at first.",He opened his eyes and began to draw the image until it was completed.,The image never came to his mind.,The image materialized in his mind.,1
2652,162600,162600,Sam was driving down the road.,He learned to not tailgate as much.,Sam was a good driver and kept their space from other the other cars.,Sam rear ended another car.,1
1690,39780,39780,Kristen loved buying Christmas trees.,"It just needed love, she knew, and that was what Christmas was about.",Kristen didn't know what she wanted for Christmas.,Kristen knew what she wanted for Christmas.,1
2827,34604,34604,Greg like to throw anything he could get his hands on.,Greg told his neighbor it was him.,Greg throws a fit and broke his ego.,Greg throw a rock and broke a window.,1
593,20515,20515,Steve was out with his wife for dinner on his birthday.,His wife admitted that she had told them about his birthday.,Steve's friends never showed up to dinner.,Steve's friends showed up to dinner.,1
