,Unnamed: 0,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
3687,3687,1,What are the flowers that last forever called?,flowers,A. yellow,B. perennial,C. orange,D. pink,E. never
2396,2396,2,What could have space for some food?,space,A. universe,B. suitcase,C. jar,D. stomech,E. box
840,840,2,"Mark wanted to know the truth, because he didn't want to continue existing in what?",know,A. understand,B. were there,C. ignorance,D. in-between,E. ignorant
3407,3407,0,Where would you not be able to find a diaphragm if there is no one in it?,diaphragm,A. drugstore,B. human,C. woman's body,D. human body,E. valve
500,500,4,"If people are vegetarian, what do they do more of?",people,A. believe in god,B. sun themselves,C. eat hamburgers,D. gain wealth,E. eat plants
3473,3473,3,Where would you store a saltshaker when not in use?,saltshaker,A. own kitchen,B. empty restaurant,C. table setting,D. kitchen cupboard,E. cruet
1288,1288,3,"They saw a fox at the park, they tried to get their phones out quickly to get a what?",fox,A. outside,B. hen house,C. indiana,D. picture,E. phone numbers
1508,1508,1,What can you do while driving to work that involves sound but does not require you to move your mouth?,driving to work,A. anger,B. listen to radio,C. speed,D. sing,E. statue
1050,1050,2,"The cat saw animal control approaching her, what did she decide to do?",cat,A. sleep all day,B. cast shadow,C. run away,D. bark like a dog,E. see at night
4506,4506,3,Jan wasn't very good at studying.  What might help him study better?,studying,A. having a bigger brain,B. headaches,C. inspiration,D. more intelligence,E. understanding
1150,1150,2,Where would you store a book that you're taking with you on vacation?,book,A. classroom,B. briefcase,C. suitcase,D. book store,E. synagogue
4826,4826,4,Bill needed new socks so he went where?,socks,A. paint,B. bed,C. bureau,D. suitcase,E. sporting goods store
3191,3191,1,"The seats were designed to accommodate cumbersome clothing, where were they seats located?",seats,A. bowling alley,B. space shuttle,C. auditorium,D. rest area,E. beach
488,488,4,What European country is famous for its potato industry?,potato,A. idaho,B. casserole,C. new hampshire,D. root cellar,E. ireland
1165,1165,2,Sean stared at his door all night.  He was scared that he might see it doing what?,door,A. wall,B. window,C. opening,D. closet,E. exit
307,307,2,What might a person receive from their boss if they do a poor job?,person,A. misfortune,B. fearful,C. criticism,D. make mistakes,E. promotion appraisal
1596,1596,1,John is drinking down the highway and he's quite lost.  Where might he go to buy a map?,map,A. taco bell,B. truck stop,C. amusement park,D. atlas,E. classroom
1982,1982,1,what is a type of science?,science,A. space lab,B. nanotechnology,C. university,D. methodology,E. school
1027,1027,2,"Some people really loved beer, they call it what gold?",beer,A. alcohol in,B. intoxicating,C. liquid,D. hair of the dog,E. harmful
4536,4536,1,What happens on a tree when its first growing?,tree,A. fall down,B. branch out,C. cast shadow,D. provide shelter,E. make tables
3207,3207,2,Where could you find out more about a type of lizard?,lizard,A. in the garden floor,B. rocks,C. books,D. bushes,E. garden
947,947,2,"A small dog is lost in New England, where would it likely be found?",small dog,A. own home,B. old england,C. new hampshire,D. coffin,E. denmark
4265,4265,2,What happens to a person when they're confronted with something unexpected?,person,A. anxiety,B. dedication,C. surprised,D. solutions,E. acknowledgment
2926,2926,3,A lot of people who wrestle are very?,wrestle,A. train yourself,B. have strength,C. choke hold,D. strong,E. take lessons
3536,3536,3,Where is a very bad place for bad bacteria?,bacteria,A. sores,B. septic tank,C. petri dish,D. mouth,E. finger
2272,2272,3,Where is likely to have a walk in type wardrobe?,wardrobe,A. recreational vehicle,B. clothes cupboard,C. house,D. mansion,E. bedroom
74,74,1,What is required to be good at playing tennis?,playing tennis,A. tennis racket,B. skill,C. competition,D. tennis court,E. legs
748,748,2,Illegitimate designer handbags will not have a certificate of what?,illegitimate,A. actions,B. legal,C. authentic,D. logical,E. legitimate
