,Unnamed: 0,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
1537,1537,['neutral'],3375014075.jpg#0,neutral,3375014075.jpg#0r4n,"Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.","( ( Outside ( by ( the trees ) ) ) ( , ( ( ( a woman ) ( wearing ( ( jeans and ) ( red jacket ) ) ) ) ( ( ( throws ( something ( for ( a ( German shepherd ) ) ) ) ) ( to chase ) ) . ) ) ) )","(ROOT (S (PP (IN Outside) (PP (IN by) (NP (DT the) (NNS trees)))) (, ,) (NP (NP (DT a) (NN woman)) (VP (VBG wearing) (NP (NP (NNS jeans)) (CC and) (NP (JJ red) (NN jacket))))) (VP (VBZ throws) (NP (NP (NN something)) (PP (IN for) (NP (DT a) (JJ German) (NN shepherd)))) (S (VP (TO to) (VP (VB chase))))) (. .)))",A woman throws something for her dog.,( ( A woman ) ( ( throws ( something ( for ( her dog ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ throws) (NP (NP (NN something)) (PP (IN for) (NP (PRP$ her) (NN dog))))) (. .)))
1085,1085,['entailment'],480607352.jpg#3,entailment,480607352.jpg#3r1e,Street performer in colorful shirt performing with small guitar.,( ( ( ( Street performer ) ( in ( colorful shirt ) ) ) ( performing ( with ( small guitar ) ) ) ) . ),(ROOT (NP (NP (NP (NNP Street) (NN performer)) (PP (IN in) (NP (JJ colorful) (NN shirt)))) (VP (VBG performing) (PP (IN with) (NP (JJ small) (NN guitar)))) (. .))),A street performer is trying to earn extra money.,( ( A ( street performer ) ) ( ( is ( trying ( to ( earn ( extra money ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN street) (NN performer)) (VP (VBZ is) (VP (VBG trying) (S (VP (TO to) (VP (VB earn) (NP (JJ extra) (NN money))))))) (. .)))
499,499,['neutral'],4934873039.jpg#4,neutral,4934873039.jpg#4r1n,Tourists waiting at a train stop.,( ( Tourists ( waiting ( at ( a ( train stop ) ) ) ) ) . ),(ROOT (NP (NP (NNS Tourists)) (VP (VBG waiting) (PP (IN at) (NP (DT a) (NN train) (NN stop)))) (. .))),A group of tourist waiting for a train outside.,( ( ( ( A group ) ( of tourist ) ) ( waiting ( for ( a ( train outside ) ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NN tourist)))) (VP (VBG waiting) (PP (IN for) (NP (DT a) (NN train) (NN outside)))) (. .)))
4348,4348,['entailment'],4493641563.jpg#0,entailment,4493641563.jpg#0r1e,"Two girls, a brunette dressed like a mermaid and a blond in a green shirt stand on the sidewalk holding informational cards.","( ( ( ( Two girls ) , ) ( ( a brunette ) ( ( dressed ( like ( ( ( a mermaid ) and ) ( a blond ) ) ) ) ( in ( a ( green shirt ) ) ) ) ) ) ( ( stand ( on ( ( the sidewalk ) ( holding ( informational cards ) ) ) ) ) . ) )","(ROOT (S (NP (NP (CD Two) (NNS girls)) (, ,) (NP (NP (DT a) (NN brunette)) (VP (VBN dressed) (PP (IN like) (NP (NP (DT a) (NN mermaid)) (CC and) (NP (DT a) (NN blond)))) (PP (IN in) (NP (DT a) (JJ green) (NN shirt)))))) (VP (VBP stand) (PP (IN on) (NP (NP (DT the) (NN sidewalk)) (VP (VBG holding) (NP (JJ informational) (NNS cards)))))) (. .)))",A couple of girl relax with some reading material.,( ( ( A couple ) ( of girl ) ) ( ( relax ( with ( some ( reading material ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN couple)) (PP (IN of) (NP (NN girl)))) (VP (VBP relax) (PP (IN with) (NP (DT some) (NN reading) (NN material)))) (. .)))
4750,4750,['neutral'],6917718093.jpg#0,neutral,6917718093.jpg#0r1n,A lady in a gray sweater has a conversation with three other people at the same table.,( ( ( A lady ) ( in ( a ( gray sweater ) ) ) ) ( ( has ( ( a conversation ) ( with ( ( three ( other people ) ) ( at ( the ( same table ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN lady)) (PP (IN in) (NP (DT a) (JJ gray) (NN sweater)))) (VP (VBZ has) (NP (NP (DT a) (NN conversation)) (PP (IN with) (NP (NP (CD three) (JJ other) (NNS people)) (PP (IN at) (NP (DT the) (JJ same) (NN table))))))) (. .))),A lady and three men are talking to each other at a table.,( ( ( ( A lady ) and ) ( three men ) ) ( ( are ( ( talking ( to ( each other ) ) ) ( at ( a table ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN lady)) (CC and) (NP (CD three) (NNS men))) (VP (VBP are) (VP (VBG talking) (PP (TO to) (NP (DT each) (JJ other))) (PP (IN at) (NP (DT a) (NN table))))) (. .)))
1934,1934,['neutral'],488408004.jpg#0,neutral,488408004.jpg#0r1n,A child in formal clothing is walking along the edge of a stony area that is littered in places.,( ( ( A child ) ( in ( formal clothing ) ) ) ( ( is ( walking ( along ( ( the edge ) ( of ( ( a ( stony area ) ) ( that ( is ( littered ( in places ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN child)) (PP (IN in) (NP (JJ formal) (NN clothing)))) (VP (VBZ is) (VP (VBG walking) (PP (IN along) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT a) (JJ stony) (NN area)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (VBN littered) (PP (IN in) (NP (NNS places))))))))))))) (. .))),The child is wearing a hat.,( ( The child ) ( ( is ( wearing ( a hat ) ) ) . ) ),(ROOT (S (NP (DT The) (NN child)) (VP (VBZ is) (VP (VBG wearing) (NP (DT a) (NN hat)))) (. .)))
4437,4437,['neutral'],5318400439.jpg#1,neutral,5318400439.jpg#1r1n,Five young ladies are dancing ballet with their legs kicked back and arms up high.,( ( Five ( young ladies ) ) ( ( are ( ( dancing ballet ) ( with ( ( their legs ) ( ( kicked ( ( back and ) arms ) ) ( up high ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Five) (JJ young) (NNS ladies)) (VP (VBP are) (VP (VBG dancing) (NP (NN ballet)) (PP (IN with) (NP (NP (PRP$ their) (NNS legs)) (VP (VBN kicked) (NP (NN back) (CC and) (NNS arms)) (ADVP (RB up) (JJ high))))))) (. .))),some persons dancing,( ( some persons ) dancing ),(ROOT (NP (NP (DT some) (NNS persons)) (NP (NN dancing))))
2815,2815,['neutral'],2955813024.jpg#2,neutral,2955813024.jpg#2r1n,Several people are standing in a fenced in area.,( ( Several people ) ( ( are ( standing ( in ( ( a fenced ) ( in area ) ) ) ) ) . ) ),(ROOT (S (NP (JJ Several) (NNS people)) (VP (VBP are) (VP (VBG standing) (PP (IN in) (NP (NP (DT a) (NN fenced)) (PP (IN in) (NP (NN area))))))) (. .))),There are eight people surrounded by a fence.,( There ( ( are ( ( eight people ) ( surrounded ( by ( a fence ) ) ) ) ) . ) ),(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (CD eight) (NNS people)) (VP (VBN surrounded) (PP (IN by) (NP (DT a) (NN fence)))))) (. .)))
4159,4159,['entailment'],1464745434.jpg#2,entailment,1464745434.jpg#2r1e,A man in a green shirt and beige cap is standing in a household.,( ( ( A man ) ( in ( ( ( a ( green shirt ) ) and ) ( beige cap ) ) ) ) ( ( is ( standing ( in ( a household ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ green) (NN shirt)) (CC and) (NP (JJ beige) (NN cap))))) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT a) (NN household))))) (. .))),A man wearing a green shirt is standing near the house,( ( ( A man ) ( wearing ( a ( green shirt ) ) ) ) ( is ( standing ( near ( the house ) ) ) ) ),(ROOT (S (NP (NP (DT A) (NN man)) (VP (VBG wearing) (NP (DT a) (JJ green) (NN shirt)))) (VP (VBZ is) (VP (VBG standing) (PP (IN near) (NP (DT the) (NN house)))))))
3892,3892,['neutral'],3070159791.jpg#2,neutral,3070159791.jpg#2r1n,A canoe of children is floating in the water with one boy rowing.,( ( ( A canoe ) ( of children ) ) ( ( is ( floating ( in ( ( the water ) ( with ( one ( boy rowing ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN canoe)) (PP (IN of) (NP (NNS children)))) (VP (VBZ is) (VP (VBG floating) (PP (IN in) (NP (NP (DT the) (NN water)) (PP (IN with) (NP (CD one) (NN boy) (NN rowing))))))) (. .))),the canoe is brown,( ( the canoe ) ( is brown ) ),(ROOT (S (NP (DT the) (NN canoe)) (VP (VBZ is) (ADJP (JJ brown)))))
