,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,sent1,sent2,ending0,ending1,ending2,label
1546,1546,1546,1546,Casey filled Sydney's heart with jealousy after he started dating someone.,What will happen to Sydney?,become friends,be happy with a new love,hate each other,2
3292,3292,3292,3292,Addison let Casey win because Casey always complained when Addison won and beat her.,What does Addison need to do before this?,play badly so Casey would win,play their best to beat Casey,cheer,0
448,448,448,448,Austin had a snowball fight with his family on the first day of snow.,How would his family feel as a result?,happy it's winter,longing for summer,scared of snowballs,0
268,268,268,268,Addison put Kendall's  cost-cutting ideas into action.,What will happen to Addison?,kendall will be thanked,get promoted,lose their job,1
2084,2084,2084,2084,Skylar was offered a high paying position in her field of expertise. She quit her old job.,How would Skylar feel afterwards?,excited to begin her dream job,angry about the new position,happy to keep her old job,0
2195,2195,2195,2195,skylar was sick so she took a vacation and spent the next week at home.,How would Others feel as a result?,upset,angry,relaxed,0
2455,2455,2455,2455,Kendall also said the secret to the group of people that were listening.,How would you describe Kendall?,proud to of shared a secret,mean,helpful,1
1472,1472,1472,1472,"Tracy was not very good at playing poker, so Tracy tipped his hand.",What will Tracy want to do next?,decide their new strategy,fold,challenge the winner,1
2903,2903,2903,2903,Cameron would make fun of Austin often because Austin always fell down while walking.,What will Austin want to do next?,say they were sorry,work on walking,apologize to them,1
3698,3698,3698,3698,kai was a persistent person who did not give up easily so he finally made headway.,What will Kai want to do next?,achieve an accomplishment,keep working,stop making headway,1
3008,3008,3008,3008,quinn wanted to punish jesse so she took away his video games.,What will Jesse want to do next?,harass quinn,beg quinn to give him back his video games,hide them,1
4398,4398,4398,4398,A man asked Jordan if he could give him any money.,What will Jordan want to do next?,unlock his doors,ignore the person,didn't do anything,1
4541,4541,4541,4541,Remy sold Carson's jacket at a reasonable price after buying it for a low price.,What will happen to Carson?,be wealthy,be happy,be annoyed,1
4543,4543,4543,4543,Taylor impressed upon Casey the rules of the game so he would know them.,What will Others want to do next?,follow the rules,break the rules,learn the rules of the game,0
3644,3644,3644,3644,Lee fell asleep in the car while his friend was driving.,How would you describe Lee?,sleepy,awake,funny,0
3286,3286,3286,3286,bailey made sasha's coffee but put poison in it to get rid of sasha.,What will happen to Sasha?,be dead,get arrested,be healthy,0
1906,1906,1906,1906,Ash played some tricks on the people that were living with him.,How would Others feel as a result?,played as fools,sorry for the people,ashamed about the pranks,0
124,124,124,124,Jesse saw her friend Ash's boyfriend behind Ash's back for several months.,How would you describe Jesse?,a caring person,ignorant of boundaries,cheated,1
2997,2997,2997,2997,Addison and Jesse put an end to Riley once and for all.,What will Jesse want to do next?,run away,consult with Jesse on what to do next,help Jesse cover their tracks,0
3597,3597,3597,3597,Robin brought Remy to trial once the evidence had all been gathered.,Why did Robin do this?,gather the evidence,punish Remy,be a good friend to Remy,1
3375,3375,3375,3375,jordan brought the food to sasha at the end of the line because they felt bad for sasha.,How would Sasha feel as a result?,sad about the gesture,annoyed by jordan,grateful towards jordan,2
1517,1517,1517,1517,Remy rehearsed Quinn's lines. Then she told Quinn that he didn't get the part.,How would Quinn feel as a result?,not happy,somewhat clever,somewhat incompetent,0
98,98,98,98,Aubrey made Kendall's bed because Kendall did not do it.,How would you describe Aubrey?,unaccomplished,responsible,guilty,1
206,206,206,206,Tracy had goals of retiring young. Tracy started a business.,Why did Tracy do this?,retire right now and stop the business,make lots of money,start a business and stop it at a young age,2
902,902,902,902,Sydney was home alone for the first time and thought she heard someone outside the window.,How would you describe Sydney's personality?,a brave person,a scared person,a happy person,1
1431,1431,1431,1431,Austin got full at dinner but saved room for dessert.,What will Austin want to do next?,like dessert,eat breakfast next,full next,0
1633,1633,1633,1633,"Taylor played everyday, and ignored their studies, and got kicked out of school.",How would you describe Taylor?,terrible,someone who likes to have a good time,bad,2
623,623,623,623,Jan played volleyball in high school and continued playing through college.,How would you describe Jan?,a inquisitive person,competitive person,fit,1
819,819,819,819,"Jesse brought the show to a close with an uplifting, crowdpleasing number that received a standing ovation.",How would Jesse feel afterwards?,talented,ready to perform an encore,curious about the song selection,0
3927,3927,3927,3927,Riley faced an uneasy future after they learned they might be fired from their job.,How would Riley feel afterwards?,worried about their job,secure,anxious,2
2498,2498,2498,2498,Robin was being really morbid and dragging down the group. Robin cast a shadow over everyone.,How would you describe Robin?,depressing,apathetic about their feelings,uncaring about their feelings,0
4327,4327,4327,4327,Remy had a dentist appointment that was too far away for them to walk to.,What does Remy need to do before this?,needed to leave on time,call for a cab ride to the dentist,needed to take the bus instead,1
4578,4578,4578,4578,"Although Robin wished to remain at the party for a while longer, Kai needed to leave and didn't have a ride so Robin took Kai home.",What will Robin want to do next?,invite Kai into their home,thank Kai for the favor,return to the party,2
1620,1620,1620,1620,tracy was busy so she accidentally pressed upon austin in the elevator.,What does Tracy need to do before this?,get out of the elevator,be busy,avoid the elevator,1
501,501,501,501,Robin gave them money and they went to the cafe for some lunch.,How would Others feel as a result?,full now,a generous person,bored now,0
3447,3447,3447,3447,Sydney invited their friends over to have a house party.,What does Sydney need to do before this?,Buy food,socialize with their friends,show off their home,0
1963,1963,1963,1963,Jesse talked to Casey about anything interesting but Casey didn't listen at all.,What will happen to Jesse?,yell at Casey,leave the conversation,ignore the conversation,1
4758,4758,4758,4758,Quinn could not pass any homework or test in his physics class.,What will Quinn want to do next?,move to any easier science class,change his major to physics,start helping other students understand the homework,0
1231,1231,1231,1231,Sasha went shopping with their father and he refused to let her pay for anything.,What will happen to Sasha?,a provider,think her father old fashioned,get new things,2
2987,2987,2987,2987,Carson gave Addison a piece of their mind.  Addison talked badly about Carson behind their back.,What will happen to Addison?,walk away from Carson,have no friend,find new friends,1
64,64,64,64,"Ash was worried how it would go, but according to Ash it went well.",What does Ash need to do before this?,Relax to reduce stress,do a good job,Avoid the event,1
4070,4070,4070,4070,Jordan lent Addison the money so she could pay for groceries.,What will happen to Addison?,get repaid,get angry with him,have food to eat,2
3378,3378,3378,3378,Alex ran home scared after seeing a creepy guy hiding in the shadows.,What will Alex want to do next?,look out the window to be sure they weren't forgotten,lock all the doors,need to run fast,1
1636,1636,1636,1636,Sasha choked on their food while she was in the deli.,What will Sasha want to do next?,enter the deli and eat food,eat more food,spit the food out,2
3467,3467,3467,3467,Tracy laughed and told the joke about the chicken and the chicken owner.,What will Others want to do next?,in awe,lazy,Asked if it was offencive,2
4083,4083,4083,4083,Sydney took both of Skylar's kids to the movies and they watched something great.,What will Skylar want to do next?,get popcorn,take Skylar's kids home,ask Skylar's kids if they enjoyed the movie,1
4941,4941,4941,4941,Taylor put the story another way so the students will have better understanding.,What will Others want to do next?,make sure they understand,ask questions,thank Taylor for the book,1
2174,2174,2174,2174,Cameron was playing with blocks when his brother came and pushed them over. Cameron hit their brother for messing it up.,What does Cameron need to do before this?,punish them,yell at them,needed to be playing,2
1964,1964,1964,1964,Jesse is Robin's best friend. Jesse keeps Robin balanced.,How would Robin feel as a result?,affectionate toward Jesse,like a failure,thankful for her friend,2
1203,1203,1203,1203,Jan decided to ring the door bell because her husband wouldn't answer and her maid hated her.,How would Jan feel afterwards?,bad that her husband hated her,bad that her maid hated her,thoughtful,1
4501,4501,4501,4501,Addison noticed that Austin didn't finish writing the song so she finished it for him.,How would Addison feel afterwards?,nervous about singing the song,proud because she completed a song,bad because she finished the song,1
3664,3664,3664,3664,Sasha stated the findings given in the report briefly before dismissing everyone for lunch.,How would Others feel as a result?,hungry and grateful,uninformed and forsaken,satiated and annoyed,0
962,962,962,962,Cameron told his best friend his closest secret that he had kept hidden.,What will Cameron want to do next?,ask their friend to keep the secret,see the friend's reaction,see the friend's mystery,0
590,590,590,590,Alex is a professional athlete.  He bet some strangers that he could win a race and won.,What will the strangers want to do next?,ask Alex for the money he owes them,place a bet before the race begins,get their money back from Alex,2
3085,3085,3085,3085,Austin quickly performed CPR and chest compressions on Quinn after she suddenly collapsed from a heart attack.,What will Quinn want to do next?,Call an ambulance,seek immediate medical attention,be left to die,1
3787,3787,3787,3787,Ash grounded Kai for a month because Kai called Ash a bad word.,What will happen to Kai?,be thanked,not be allowed to have fun,be angry,1
4012,4012,4012,4012,Alex invited their friend Cameron to the party even though nobody likes Cameron.,Why did Alex do this?,be nice,be mean,tell cameron it's fine,0
2108,2108,2108,2108,"Casey was getting very impatient, so Alex kept him occupied.",How would Alex feel afterwards?,please with Casey,sad about it,happy about it,2
1136,1136,1136,1136,Austin left for a trip and carried Casey along the way.,Why did Austin do this?,have a friend there,enjoy the trip,stay with Casey,0
2689,2689,2689,2689,riley was about to give up but then she turned things around.,How would the audience feel as a result?,like standing and clapping,like booing her,Like they are motivated,0
603,603,603,603,Lee felt cramped on Jan's line and had to call later that day.,How would Jan feel as a result?,would be annoyed,upset,sad now,0
1857,1857,1857,1857,After Carson cut his hand Bailey layered it with bandages to stop the bleeding.,What will Bailey want to do next?,take Carson to the doctor,layer Carson's other hand,clean the wound,0
1785,1785,1785,1785,"Because they are breaking up, Skylar met Alex for the last time to return their things.",Why did Skylar do this?,and Alex are no longer dating,and Alex are no longer friends,Take his things home,0
2292,2292,2292,2292,Quinn put their foot down when their girlfriend wanted to buy another purse at the store.,How would you describe Quinn?,worried about their girlfriend,worried about finances,happy,1
4152,4152,4152,4152,Kendall just got some bad news from their mother. Kendall and Aubrey are best friends. Kendall called Aubrey to tell them the bad news. Aubrey would see tears in Kendall's eyes.,What will Aubrey want to do next?,hug Kendall,ask Aubrey to comfort her,tell the rest of the family the bad news,0
4698,4698,4698,4698,Tracy heard a knock on their door in the mid night with big snow storm outside.,How would you describe Tracy?,cautious,scared,sentimental,1
4772,4772,4772,4772,Robin gave Casey a blow horn but Casey did not know how to use it.,What does Robin need to do after this?,learn the blow horn,show Casey how to use it,show Casey how to use the gift,1
4732,4732,4732,4732,Sydney accidentally left her food at home and had no lunch.,How would you describe Sydney?,eat when she gets home,accidentally left her food at home,hungry without lunch,2
3145,3145,3145,3145,"Skylar was not willing to get a new job, so Austin helped Skylar change their ways.",What will Austin want to do next?,get Skylar to pay their own way,force Skylar to get a job,help Skylar get a job,2
2197,2197,2197,2197,"Tracy was always good at math, but she was so uncoordinated.",How would you describe Tracy?,a star athlete,a math nerd,clumsy and unbalanced,1
1923,1923,1923,1923,Sasha lost control of the car and crashed but was able to get out of the car and use their phone.,What will Sasha want to do next?,avoid using the phone,drive the car,call the police,2
3024,3024,3024,3024,Robin took her leather purse with her down the waterslide.,How would you describe Robin?,thoughtful for taking her things with her so they won't get lost,stupid,thoughtless for taking a bag where it will likely get lost,1
3273,3273,3273,3273,Carson called them to account about the terrible murder that just happened.,What will Carson want to do next?,strong,was upset,bored,1
3794,3794,3794,3794,Tracy didn't catch any fish after attempting to do so for 7 hours straight.,How would Tracy feel afterwards?,incompetent,deft,Bad about herself,0
4087,4087,4087,4087,"Jesse wanted a new game, but he didn't have enough money to pay for it.",What does Jesse need to do before this?,he forgot he needed money,he did not have a job,work for the money,2
3982,3982,3982,3982,Austin made the announcement to his wife Addison that he wanted a divorce.,What will happen to Austin?,agree to the divorce and move on,leave his wife,be sad and wonder what went wrong,1
1729,1729,1729,1729,Bailey happily accepted the car even though they had a car that was fine.,How would you describe Bailey?,pleased with a new vechile,an extravagant person,a simple person,0
4675,4675,4675,4675,Kendall went against the grain and did what they thought was right.,What does Kendall need to do before this?,think about their best,right,be a moral person,2
2367,2367,2367,2367,Tracy could not get the position on their own so Skylar afforded them the opportunity.,What will Skylar want to do next?,Tell Tracy to leave,lp Tracy get started,Avoid interacting with Tracy,1
2668,2668,2668,2668,Sasha touched them self when she was alone in her room.,Why did Sasha do this?,get ill,good,gross herself out,1
930,930,930,930,"Skylar put food in Ash's car, knowing Ash wouldn't have time to stop for lunch during the long drive.",How would Ash feel as a result?,Disappointed to have no food,Very grateful and relieved,Hungry and sad,1
3000,3000,3000,3000,Taylor always studied as hard as they could during the week. Taylor got great grades in school.,What does Taylor need to do beforehand?,graduate and get a great job,be at home,be in school,2
741,741,741,741,Ash finally sold Casey's house for them which they wanted to do for years.,What will Ash want to do next?,find a new house,make money,contact Casey,1
2193,2193,2193,2193,Casey did not want to talk to their parents and made sure to avoid them later.,How would Casey feel afterwards?,avoident,talkative,embarrassed,0
3524,3524,3524,3524,Remy pushed away the hug because he was uncomfortable being touched.,What will Remy want to do next?,get alone,get emotions,not be touched,0
1981,1981,1981,1981,Lee raised Quinn's head to look at his mouth more closely.,Why did Lee do this?,see if Quinn was choking,see if Quinn's arm was broken,look at quinn,0
4663,4663,4663,4663,Jesse called out of school and played video games with their friends instead.,What will Others want to do next?,spend the day playing,Meet at Jesse's house,find out what they've missed,1
4179,4179,4179,4179,Alex helped everyone that was in distress during the disaster that had occurred.,What will Alex want to do next?,thank Alex for their assistance,pay Alex back for their actions,get thanked,2
4080,4080,4080,4080,Robin came and helped with the project the team was working on.,What does Robin need to do before this?,wanted to support the team,talk to the team,wanted to see the project succeed,0
2563,2563,2563,2563,Quinn spends all day preparing for the barbeque. Quinn realizes they haven't eaten all day as they hear their stomach growl while making hamburger patties.,How would Quinn feel afterwards?,starving and ready to cook the food,annoyed and ready to clean up,tired and ready to take a nap,0
4584,4584,4584,4584,Remy brought the family together for the holidays because they hadn't seen each other all year.,Why did Remy want to do this?,yell at the family,starve the family,spend time with her family,2
4034,4034,4034,4034,"Remy expressed their regret. They lived a trite, meaningless life.",What does Remy need to do before this?,live poorly,sorrow,be a better person,0
1225,1225,1225,1225,Casey saw their grandma at the hospital because she was sick.,What does Casey need to do before this?,Get lost,talk to his grandma to see how she was doing,Drive there,2
1168,1168,1168,1168,"Sydney learned that their father was in the hospital. Though they wanted to drive to the hospital quickly, Sydney kept within the speed limits.",What does Sydney need to do before this?,Hard to understand,answer the phone call,find the hospital room,1
1861,1861,1861,1861,Carson met his sister at the store when he was searching for glue to fix something.,How would Carson feel as a result?,angry at his sister,happy to find the glue,like talking to his sister,2
2300,2300,2300,2300,Alex entered their father's office because they had something to say to their father.,What will Others want to do next?,talk to their father,start a conversation with their father,tell Alex to sit down,2
3625,3625,3625,3625,Jordan stopped waiting for Sasha to get there and left early.,Why did Jordan do this?,head back home,make sure she was on time for her next meeting,go to bed,0
4737,4737,4737,4737,"Knowing this was the last time they will ever see each other, Kai looked back to Alex.",What will happen to Kai?,be happy about it,terrible for the rest of his life,bad about leaving,2
4713,4713,4713,4713,"Kai thought it would be funny and lift Jan's spirit if he pulled a prank on Jan, but it ended up really pissing her off instead.",Why did Kai pull a prank on Jan?,think of pulling a prank on jan,piss Jan off,make Jan laugh so she wouldn't be sad,2
1098,1098,1098,1098,Carson excluded every person because he wanted to be alone.,What will Carson want to do next?,be with friends,be with others,be by self,2
4171,4171,4171,4171,Sydney used everything they had to get chores done so they could play.,How would Sydney feel afterwards?,Like they can't play,Like they finished their chores,a hard worker,2
3365,3365,3365,3365,Addison tried to calm Aubrey down after her puppy got out and was missing.,How would Addison feel afterwards?,worried about her puppy,very friendly,completely upset,1
1199,1199,1199,1199,Kendall didn't want to wait to get tickets so Kendall jumped the queue.,How would you describe Kendall?,rude,friendly,nice,0
3170,3170,3170,3170,Riley hung up their wet coat and hat on the hook in the mudroom.,How would Riley feel afterwards?,neat,sorry for getting their bedroom wet,like they did the correct thing,0
187,187,187,187,Tracy took Lee into a better life by giving a lot of gifts and good food.,Why did Tracy do this?,bored,say thank you,proud,2
4239,4239,4239,4239,Tracy died at Kendall's age old joke and had to leave the room to compose herself.,How would Tracy feel afterwards?,bored,great,passive,2
4721,4721,4721,4721,"Skylar has been gaining weight, her friend mentions noticing the weight gain. Skylar laughs and says she has been eating for two.",What is Skylar trying to tell her friend?,That she hasn't been eating very much,going on a new diet,going to have a baby,2
1042,1042,1042,1042,"Jordan couldn't figure out how to use the self checkout at the grocery store, so he found an employee to help.",What will happen to Jordan?,get impatient,use the self checkout with help from an employee,use the self checkout with help from a friend,1
4603,4603,4603,4603,"While it was hard being an exchange student far from home, Jesse loved Aubrey's family.",How would Aubrey feel as a result?,trying to be family,homesick for Jesse,welcome,0
4643,4643,4643,4643,Carson led Jan through life as seen in the movie that the class students watched.,What will happen to Jan?,be there for Jan,capable on their own,be dependent on Carson,2
519,519,519,519,A masked man with a gun broke into the bank and demanded money so Jordan gave him something.,What will Jordan want to do next?,take some money for himself,keep himself safe,call the police,2
2643,2643,2643,2643,"Cameron was showing off and mocking others around them, they saw Robin, a person they love to bully so Cameron headed towards Robin and tripped.",What will happen to Cameron?,praised,be cried at,ridiculed,2
4250,4250,4250,4250,Cameron's boss hires Ash because Cameron isn't completing their work load. Ash has taken over Cameron's job responsibilities and Cameron has nothing to do all day.,What will happen to Cameron?,have to follow Ash's lead on the job,have to find a new job or career,do well at the job,1
1544,1544,1544,1544,Bailey opened all his presents from Christmas. Bailey discovered another surprise hidden behind the tree.,How would you describe Bailey?,a happy person,joyous,a mean person,0
3506,3506,3506,3506,Remy asked his girlfriend to marry him.,What does Remy need to do before this?,plan the engagement,he loved her,break up with his girlfriend,1
164,164,164,164,"Even though Austin should have been working on the report, Austin continued reading random news.",Why did Austin do this?,work on the report,catch up on the news,finish reading the book,1
214,214,214,214,"tracy was hiding something, so austin decided to open tracy's locker wide.",What will Tracy want to do next?,search the locker,find what tracy was hiding,yell at austin,2
760,760,760,760,Ash left the house for the better and did not go back.,Why did Ash do this?,bring Ash back to the house,find a new place to live,call Ash from the house,1
299,299,299,299,Alex didn't pay their rent and was eventually evicted from Lee's apartment.,What will Alex want to do next?,Find a new apartment,get their finances in order,Find a place to sleep,0
2548,2548,2548,2548,"Jesse could not make it to the wedding, so Jesse sent a gift instead.",What does Jesse need to do before this?,should have bought their flight ticket sooner,give people her plans,avoid communication,1
4863,4863,4863,4863,Bailey returned to her country when her new visa was denied.,How would Bailey feel afterwards?,upset she had to leave,distressed she had to leave,angry,0
2217,2217,2217,2217,carson sold their phone that they loved dearly because they needed the money for rent.,What will Others want to do next?,help carson out,ignore carson,get a new phone from carson,0
1196,1196,1196,1196,Jordan found therapy to help him work through the pain.,What will Jordan want to do next?,attend all therapy sessions,recommend the therapy,deal with the pain himself,0
3240,3240,3240,3240,Kendall prevented Sydney from attempting to jump from the bridge after their partner left them for someone else.,What will Sydney want to do next?,get Sydney help,Apologize,care for Sydney,0
3637,3637,3637,3637,Tracy was teaching a yoga class and Jordan was having some trouble. Tracy bent Jordan's head backwards.,What will Jordan want to do after the fact?,figure it out,hire a lawyer,leave the class,2
287,287,287,287,Ash held the cross in the church and took it down from the wall for a few minutes.,Why did Ash do this?,bored,strong,grab the cross,0
4958,4958,4958,4958,"Skylar didn't want anyone else to hear, and tilted Kendall's head back slowly to whisper the huge secret.",What does Skylar need to do before this?,keep the secret,grip Kendall's head,listen,1
4391,4391,4391,4391,Jan got a new watch after they broke their old one.,How would you describe Jan?,a watch lover,excited,wearing a new watch,0
4483,4483,4483,4483,Kendall washed up after dinner then sat down with a glass of wine with their family and watched a film.,What does Kendall need to do before this?,not make dinner,wanted to spend time with family,eat dinner,2
750,750,750,750,Sydney pulled a face as Robin and Robin assumed what Sydney's expression meant and Robin thought it wasnt good.,What will happen to Robin?,avoid Sydney,talk to Robin,not get into trouble with Sydney,1
1505,1505,1505,1505,Cameron talked to Bailey's friend.  It made Bailey jealous.,What does Cameron need to do before this?,get a date,make them jealous,introduce themselves,2
2344,2344,2344,2344,Quinn and Kendall hung out a lot alone. Quinn had never met Kendall's friends come to think of it.,What will Quinn want to do next?,meet the friends,ask Kendall to share,hang out alone,0
1697,1697,1697,1697,Alex saw Kendall's boss at the Christmas party at Kendall's house.,How would you describe Alex?,uninterested in anything,awkward,a kindhearted person,1
3824,3824,3824,3824,They were late for work and speeding to make up lost time. They got pulled over and Officer Jordan gave their friend a ticket.,What will happen to the others?,guilty about giving the ticket,remorse for writing the ticket,pitch in to help pay the ticket,2
4132,4132,4132,4132,Austin sent the boy to school early for morning detention before class.,What will Austin want to do next?,Sit in detention all day,Get detention over and done with,be a good teacher,2
3840,3840,3840,3840,Aubrey was very religious and didn't want their children to be corrupted by liberals.,What will Aubrey want to do next?,respect her,curse and swear,wear religious clothes,2
1152,1152,1152,1152,Carson finally hit a ball after wasting twenty-five dollars on this dumb carnival game.,What will Carson want to do next?,pay to play again,tell all his friends,go on a ride,2
3315,3315,3315,3315,Lee had an emergency and could not help his neighbor. Carson performed Lee's task instead.,Why did Carson do this?,likes to do favors for his friends,Find out what steps to be be done to finish the task,friends have never done him any favors,0
1507,1507,1507,1507,Tracy overheard what was said in the other room and gave Quinn trouble.,How would you view Tracy's motivations?,a selfish person,trying to protect someone,annoyed with Quinn,2
1722,1722,1722,1722,Bailey failed the exam despite having studied and tried very hard.,What does Jan need to do before this?,wanted to see Bailey succeed,Confusing question,Don't know,2
4008,4008,4008,4008,Robin was wrapping a present for Kai when he walked in the room. Robin yelled and locked the door behind Kai.,What will happen to Kai?,be happy,become sad,go back in the room,1
57,57,57,57,Kai taught English class to students at a college.,How would you describe Kai?,capable,As someone who knows about English,As some who could teach,2
1674,1674,1674,1674,Carson got new glasses and was able to see better.,How would Carson feel afterwards?,they can see,elated,excited,1
1583,1583,1583,1583,Aubrey wouldn't eat because they were in the middle of a hunger strike to protest eating meat.,How would Aubrey feel afterwards?,disciplined,hungry,someone who doesnt want to eat meat,1
2785,2785,2785,2785,Taylor got the TV working after tinkering with for a few hours.,How would you describe Taylor?,Happy to watch TV again,useless,technical,0
142,142,142,142,Tracy gave Kai utterance about what to do next at the company.,What will happen to Tracy?,ask more questions,lazy,smart,2
853,853,853,853,Quinn kept trying to touch Skylar in an inappropriate way so Skylar slapped Quinn in the face.,What will Skylar want to do next?,get away from Quinn,apologize for it,go on a date with Quinn,0
72,72,72,72,Sasha wanted to lose some weight before their cheer competition.,What will Sasha want to do next?,go on a diet,work out hard,look good in the competition uniform,0
2923,2923,2923,2923,Addison was drunk and was going to leave the party at midnight.,What will Others want to do next?,say bye to her friends,ask Addison to leave,party on,2
2214,2214,2214,2214,Austin planted flowers in a place Tracy told them was too sunny. Tracy protected Austin's flowers from the sun while they were at the store.,What will happen to Austin?,have to move their flowers,get thanked by Tracy,help Austin plant,0
1373,1373,1373,1373,Remy said they would leave by the end of the day to go home for a night's sleep.,Why did Remy do this?,drive to his house,loved,clock out of work,2
32,32,32,32,Cameron flew on a plane because he figured he would get there faster than driving.,What will Cameron want to do next?,buy a ticket,get back on the plane,find a hotel,2
3638,3638,3638,3638,Kendall threw the meeting into confusion with their wild claims about UFOs.,What will happen to Kendall?,get promoted,buy the company,be unemployed,2
4452,4452,4452,4452,Bailey played the drums with her friend on the stage.,Why did Bailey do this?,play an instrument,have fun,do nothing,1
2543,2543,2543,2543,"When the bus didn't come, Quinn had to walk 3 miles to school in the rain.",What will Quinn want to do next?,change schools,dry off,put on a raincoat,1
2895,2895,2895,2895,Taylor ended up being wrong after promising that Bailey would come through.,What will happen to Taylor?,Taylor's friends will not trust Taylor,make new friends,be mad at Taylor for making false promises,0
4617,4617,4617,4617,Jesse had just worked all day on a construction site.,What will Jesse want to do next?,work out at a gym,go right back to work,go out to a bar,2
793,793,793,793,Cameron got stuck in the elevator in his apartment building.,What will happen to Cameron?,be scared,be happy,worry about Cameron,0
3290,3290,3290,3290,Austin was cooking meat and they cut off the fat from the meat.,What does Austin need to do before this?,cook the meat,get a cutting knife,prepare the meat,1
1978,1978,1978,1978,Jesse watered Alex's lawn while they were on a trip.,How would Alex feel as a result?,Like they could help,Glad they are their friend,Like they could be a friend,1
445,445,445,445,Robin called for repentance after she had sinned so badly.,What will happen to Others?,be forgiven for her sins,try to become a better person,they will have sympathy,2
2430,2430,2430,2430,"Even though they were trying very hard to quiet, Carson made a noise and drew attention to the hiding spot.",How would you describe Carson's behavior?,guilty that he made a noise,scared that they would be found,cautious and careful,1
2375,2375,2375,2375,Addison called the customer into Skylar's office and proceeded to search them for the stolen items.,How would Skylar feel as a result?,angry that the customer was purchasing,frustrated at having to create the issue,frustrated at having to deal with the issue,2
4160,4160,4160,4160,Ash handed the books to Cameron when they were too heavy.,How would you describe Ash?,Caring,strong,Viscious,1
3342,3342,3342,3342,Tracy explained their time in terms that made a lot of sense to everyone else.,How would you describe Tracy?,dutiful,nice to others,angry with others,1
4591,4591,4591,4591,Jesse gave Lee's girlfriend a kiss because he had a secret crush on her.,What will Lee want to do next?,apologize to Lee's girlfriend,laugh about it,hurt Jesse,2
425,425,425,425,Taylor was involved in a bank robbery with other people.,What will Others want to do next?,plan to rob the bank,Pretend like they did nothing and keep doing bad things,Admit their mistakes and try to get better,1
701,701,701,701,Alex expressed their desire for them through unorthodox ways and means.,How would you describe Alex?,wanting,generous,kind,0
4687,4687,4687,4687,"Kai was a big prankster, so they scarred the crap out of Robin.",How would Kai feel afterwards?,humerous,sad,angry,0
2143,2143,2143,2143,Quinn demanded Remy answer the questions that they had for work.,What does Quinn need to do before this?,have questions,wanted to understand the situation,leave the company,0
2420,2420,2420,2420,"Addison checked Skylar's car for issues, and saw that a couple tires needed replaces.",What will happen to Addison?,replace the tires for Addison,be paid,they will make sure the new tires work,0
2051,2051,2051,2051,Tracy had planned a girl's night out and Tracy wouldn't let Casey come along.,Why did Tracy do this?,plan the night out,wanted men like Casey there,only wanted girls there,2
1717,1717,1717,1717,Aubrey got checked out after she hadn't been feeling well all week.,How would you describe Aubrey?,careful,irresponsible,reckless,0
880,880,880,880,"Alex decided to tear Ash to pieces, so Ash plans on quitting wrestling and joining the math club.",What will Ash do next?,quit math,regret being a bully,quit wrestling,2
3300,3300,3300,3300,"Bailey was out of range for reception and kept trying the phone. Finally, Bailey got through to someone on his phone.",How would Bailey feel afterwards?,relieved,determined,tenacious,0
12,12,12,12,Cameron promised not to tell anyone about Ash's surprise party. Cameron told someone the secret.,What does Cameron need to do before this?,tell Ash about the party,Go to Ash's party,tell someone about the party,2
1937,1937,1937,1937,Kai walked away from school since it was time to go home.,What will Kai want to do next?,needed to get home,go down the street,talk to their teacher,1
1068,1068,1068,1068,Bailey watched the movie alone because she had no friends.,How would you describe Bailey?,she didn't like people,sad and lonely,like they need to make more friends,1
3655,3655,3655,3655,Sydney replied back with a generic text because she didn't know the answer.,How would you describe Sydney?,not very smart,unsure and unaware,not generic,1
2235,2235,2235,2235,Addison took Jan's husband up to the bedroom and proceeded to seduce them.,How would Addison feel afterwards?,guilty for being a homewrecker,pleased at their morals,guilty for being a homemaker,0
1356,1356,1356,1356,Carson put paint on Jan's car as revenge for cheating on him.,What will happen to Carson?,yell at Jan for destroying his paint,clean up his car,be yelled at by Jan,2
4701,4701,4701,4701,"Kendall was difficult to get to know, but Bailey managed to establish relations with Kendall.",How would Bailey feel afterwards?,friends with Bailey,Proud,Ashamed,1
4276,4276,4276,4276,Remy infringed upon the rights of the girl by not listening to her when she said leave.,How would Remy feel afterwards?,sorry,inconsiderate,apologize,1
3818,3818,3818,3818,Alex put their things on the shelf in the kitchen cupboard then put the dairy products in the fridge and the frozen veg into the freezer.,What does Alex need to do before this?,put the canned goods in the pantry,go shopping,put away the shopping bags,1
