,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
45676,lsmdc3019_COLOMBIANA-9199,11691,"Removing her belt, she flips it over her head, wraps it around the back of his neck, and faces him. She swings him into a fireplace and they both","Removing her belt, she flips it over her head, wraps it around the back of his neck, and faces him.",She swings him into a fireplace and they both,gold,look up at the ceiling.,fall over the bed - soaking fire.,wrap around each other's wrists.,tumble to the ground.,3
39067,anetv_S2VKbwm0uE8,11458,A man is seen giving the camera a piece sign while others around him talk and gear up. One man,A man is seen giving the camera a piece sign while others around him talk and gear up.,One man,gold,is then seen skating around the parts of the building.,starts walking along the roof of the building.,puts cleaner on his back while still looking back to the camera.,is then seen stepping up on a platform and jumping off the side.,3
20763,anetv_fsSCNCY0iQY,10459,"The women with no makeup quickly begin to apply makeup before the time runs out. Two women quickly apply makeup to their faces, but when they are done they",The women with no makeup quickly begin to apply makeup before the time runs out.,"Two women quickly apply makeup to their faces, but when they are done they",gold,see off their drying and look on.,have upset looks on their faces.,zoom the other hands of her hands and down their hair.,laugh to the camera as they continue to talk.,1
69273,lsmdc3090_YOUNG_ADULT-44085,19900,They both lean forward and kiss. A short - haired man,They both lean forward and kiss.,A short - haired man,gen,goes to the mirrored window.,blinks his bleary eyes.,walks up beside him.,walks up behind him.,3
41011,lsmdc3016_CHASING_MAVERICKS-6791,14995,Someone throws his arm around her. The grey undulating ocean,Someone throws his arm around her.,The grey undulating ocean,gold,gathers itself up and rolls beneath someone.,"looks up, broken by a towering storm of rains.",glows off the water.,"stands over a waterfall and switches, revealing them and pages flat.",0
39152,anetv_NLdyQ1oMmAo,8372,There's a man in a white shirt and a beanie hat skateboarding on a busy sidewalk in the city. There,There's a man in a white shirt and a beanie hat skateboarding on a busy sidewalk in the city.,There,gold,is the kids getting away.,begins to weave a little as he turns and walks up on to the bar.,proceeds out of the smoke playing the dimly lit pipe.,'s another young man in a white shirt and black pants skateboarding on an empty sidewalk next to a round building.,3
13613,lsmdc3037_IRON_MAN2-16582,14495,Someone inserts palladium into the reactor and hands it to someone. Someone,Someone inserts palladium into the reactor and hands it to someone.,Someone,gen,slams releasing the wand then returns an energy glare toward his inmate weapon.,"turns to someone, who takes it to a microphone.",slams her fist into the air.,"glances past him, then presses a large machine.",3
5804,lsmdc3009_BATTLE_LOS_ANGELES-605,12457,"Racing up the remains of the building's only surviving stairwell, he takes out his radio. He","Racing up the remains of the building's only surviving stairwell, he takes out his radio.",He,gold,checks out the assembled network computer monitors.,places someone's i name in his ear.,glances at someone and blocks it below.,walks back to the car to open it.,2
8067,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86489,15407,"Someone takes a seat as someone pours the tea. Someone sits down, and they",Someone takes a seat as someone pours the tea.,"Someone sits down, and they",gold,eye each other across the table.,take off down the street.,duck down at his skin.,start to sob and face someone.,0
8541,lsmdc1046_Australia-91121,2533,Someone signals to someone to join him. The boy,Someone signals to someone to join him.,The boy,gen,turns from his radio.,"throw his hat contemptuously and keeps talking, inside we see a stunning brunette on the beach.",takes up his cigarette and closes his eyes as he thrusts his hips.,hurries up the staircase.,3
